"molecule"	"famille"
"bendroflumethiazide"	"hypokaliémiants"
"bendroflumethiazide"	"hyponatrémiants"
"bendroflumethiazide"	"médicaments abaissant la pression artérielle"
"benethamine-penicilline"	"pénicillines"
"benzalkonium"	"spermicides"
"benzocaïne"	"médicaments méthémoglobinisants"
"benzylpenicilline"	"pénicillines"
"betamethasone"	"corticoïdes"
"betamethasone"	"glucocorticoïdes (sauf hydrocortisone)"
"betamethasone"	"hypokaliémiants"
"betamethasone"	"substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants"
"betaxolol"	"antihypertenseurs sauf alpha-bloquants"
"betaxolol"	"bradycardisants"
"betaxolol"	"bêta-bloquants (sauf esmolol et sotalol)"
"betaxolol"	"bêta-bloquants (sauf esmolol)"
"betaxolol"	"médicaments abaissant la pression artérielle"
"bevacizumab"	"anticorps monoclonaux (hors anti-TNF alpha)"
"bezafibrate"	"fibrates"
"bictégravir"	"substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants"
"biperidene"	"antiparkinsoniens anticholinergiques"
"biperidene"	"médicaments atropiniques"
"bisacodyl"	"hypokaliémiants"
"bisoprolol"	"antihypertenseurs sauf alpha-bloquants"
"bisoprolol"	"bradycardisants"
"bisoprolol"	"bêta-bloquants (sauf esmolol et sotalol)"
"bisoprolol"	"bêta-bloquants (sauf esmolol)"
"bisoprolol"	"bêta-bloquants dans l'insuffisance cardiaque"
"bisoprolol"	"médicaments abaissant la pression artérielle"
"bivalirudine"	"inhibiteurs directs de la thrombine à indication spécifique"
"bleomycine"	"cytotoxiques"
"bleu de methylene"	"IMAO-A réversibles, y compris oxazolidinones et bleu de méthylène"
"bleu de methylene"	"médicaments à l'origine d'un syndrome sérotoninergique"
"blinatumomab"	"anticorps monoclonaux (hors anti-TNF alpha)"
"boldo"	"hypokaliémiants"
"bortezomib"	"cytotoxiques"
"bortezomib"	"substrats à risque du CYP3A4"
"bosentan"	"Interactions en propre seulement"
"bosutinib"	"inhibiteurs des tyrosine kinases métabolisés"
"bosutinib"	"substrats à risque du CYP3A4"
"botulique (toxine)"	"Interactions en propre seulement"
"bourdaine"	"hypokaliémiants"
"brentuximab"	"anticorps monoclonaux (hors anti-TNF alpha)"
"brigatinib"	"inhibiteurs des tyrosine kinases métabolisés"
"brigatinib"	"substrats à risque du CYP3A4"
"bromazepam"	"benzodiazépines et apparentés"
"bromazepam"	"médicaments sédatifs"
"bromocriptine"	"alcaloïdes de l'ergot de seigle dopaminergiques"
"bromocriptine"	"antiparkinsoniens dopaminergiques"
"bromocriptine"	"dopaminergiques"
"bromocriptine"	"médicaments à l'origine d'une hypotension orthostatique"
"brompheniramine"	"médicaments atropiniques"
"brompheniramine"	"médicaments sédatifs"
"budesonide"	"corticoïdes métabolisés, notamment inhalés"
"budesonide"	"glucocorticoïdes (sauf hydrocortisone)"
"budesonide"	"substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants"
"bumetanide"	"antihypertenseurs sauf alpha-bloquants"
"bumetanide"	"diurétiques"
"bumetanide"	"diurétiques de l'anse"
"bumetanide"	"diurétiques hypokaliémiants"
"bumetanide"	"hypokaliémiants"
"bumetanide"	"hyponatrémiants"
"bumetanide"	"médicaments abaissant la pression artérielle"
"bumetanide"	"médicaments ototoxiques"
"buprenorphine"	"morphiniques"
"buprenorphine"	"morphiniques agonistes-antagonistes"
"buprenorphine"	"morphiniques en traitement de substitution"
"buprenorphine"	"médicaments sédatifs"
"bupropion"	"médicaments abaissant le seuil épileptogène"
"bupropion"	"médicaments à l'origine d'un syndrome sérotoninergique"
"bupropion"	"sympathomimétiques indirects"
"buspirone"	""
"busulfan"	"cytotoxiques"
"cabazitaxel"	"cytotoxiques"
"cabazitaxel"	"substrats à risque du CYP3A4"
"cabergoline"	"alcaloïdes de l'ergot de seigle dopaminergiques"
"cabergoline"	"dopaminergiques"
"cabergoline"	"dopaminergiques, hors Parkinson"
"cabozantinib"	"inhibiteurs des tyrosine kinases métabolisés"
"cabozantinib"	"substrats à risque du CYP3A4"
"cafedrine"	"sympathomimétiques indirects"
"cafeine"	"Interactions en propre seulement"
"calcitonine"	"Interactions en propre seulement"
"calcitriol"	"vitamine D"
"calcium"	"Interactions en propre seulement"
"camphre"	"médicaments abaissant le seuil épileptogène"
"canakinumab"	"anticorps monoclonaux (hors anti-TNF alpha)"
"candesartan cilexetil"	"antagonistes des récepteurs de l'angiotensine II"
"candesartan cilexetil"	"antihypertenseurs sauf alpha-bloquants"
"candesartan cilexetil"	"hyperkaliémiants"
"candesartan cilexetil"	"médicaments abaissant la pression artérielle"
"candesartan cilexetil"	"médicaments, bradykinine et angio-œdème"
"cangrélor"	"antiagrégants plaquettaires"
"canrenoate de potassium"	"antihypertenseurs sauf alpha-bloquants"
"canrenoate de potassium"	"diurétiques"
"canrenoate de potassium"	"diurétiques épargneurs de potassium (seuls ou associés)"
"canrenoate de potassium"	"hyperkaliémiants"
"canrenoate de potassium"	"hyponatrémiants"
"canrenoate de potassium"	"médicaments abaissant la pression artérielle"
"capecitabine"	"cytotoxiques"
"capecitabine"	"fluorouracile (et, par extrapolation, autres fluoropyrimidines)"
"caplacizumab"	"antiagrégants plaquettaires"
"captodiame"	"médicaments sédatifs"
"captopril"	"antihypertenseurs sauf alpha-bloquants"
"captopril"	"hyperkaliémiants"
"captopril"	"inhibiteurs de l'enzyme de conversion"
"captopril"	"médicaments abaissant la pression artérielle"
"captopril"	"médicaments, bradykinine et angio-œdème"
"carbamazepine"	"anticonvulsivants inducteurs enzymatiques"
"carbamazepine"	"hyponatrémiants"
"carbamazepine"	"inducteurs enzymatiques"
"carboplatine"	"cytotoxiques"
"carboplatine"	"médicaments néphrotoxiques"
"carboplatine"	"médicaments ototoxiques"
"carboplatine"	"organoplatines"
"carmustine"	"cytotoxiques"
"carpipramine"	"neuroleptiques"
"carteolol"	"antihypertenseurs sauf alpha-bloquants"
"carteolol"	"bradycardisants"
"carteolol"	"bêta-bloquants (sauf esmolol et sotalol)"
"carteolol"	"bêta-bloquants (sauf esmolol)"
"carteolol"	"bêta-bloquants non cardio-sélectifs"
"carteolol"	"médicaments abaissant la pression artérielle"
"carvedilol"	"bradycardisants"
"carvedilol"	"bêta-bloquants dans l'insuffisance cardiaque"
"carvedilol"	"bêta-bloquants non cardio-sélectifs"
"carvedilol"	"médicaments abaissant la pression artérielle"
"cascara"	"hypokaliémiants"
"cascara sagrada"	"hypokaliémiants"
"caspofungine"	"Interactions en propre seulement"
"cefalotine"	""
"cefamandole"	"antabuse (réaction)"
"cefazoline"	"Interactions en propre seulement"
"ceftriaxone"	""
"celecoxib"	"anti-inflammatoires non stéroïdiens"
"celecoxib"	"hyperkaliémiants"
"celiprolol"	"antihypertenseurs sauf alpha-bloquants"
"celiprolol"	"bradycardisants"
"celiprolol"	"bêta-bloquants (sauf esmolol et sotalol)"
"celiprolol"	"bêta-bloquants (sauf esmolol)"
"celiprolol"	"médicaments abaissant la pression artérielle"
"céritinib"	"inhibiteurs des tyrosine kinases métabolisés"
"céritinib"	"substrats à risque du CYP3A4"
"certolizumab"	"anti-TNF alpha"
"cetalkonium"	"spermicides"
"cétuximab"	"anticorps monoclonaux (hors anti-TNF alpha)"
"charbon active"	"topiques gastro-intestinaux, antiacides et adsorbants"
"charbon vegetal officinal"	"topiques gastro-intestinaux, antiacides et adsorbants"
"chlorambucil"	"cytotoxiques"
"chlordiazepoxide"	"benzodiazépines et apparentés"
"chlordiazepoxide"	"médicaments sédatifs"
"chlormadinone"	"progestatifs non contraceptifs, associés ou non à un estrogène"
"chloroquine"	"antiparasitaires susceptibles de donner des torsades de pointes"
"chloroquine"	"médicaments abaissant le seuil épileptogène"
"chloroquine"	"substances susceptibles de donner des torsades de pointes"
"chloroquine"	"substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants"
"chlorphenamine"	"médicaments atropiniques"
"chlorphenamine"	"médicaments sédatifs"
"chlorpromazine"	"médicaments abaissant le seuil épileptogène"
"chlorpromazine"	"médicaments atropiniques"
"chlorpromazine"	"médicaments sédatifs"
"chlorpromazine"	"médicaments à l'origine d'une hypotension orthostatique"
"chlorpromazine"	"neuroleptiques"
"chlorpromazine"	"neuroleptiques antipsychotiques (sauf clozapine)"
"chlorpromazine"	"neuroleptiques susceptibles de donner des torsades de pointes"
"chlorpromazine"	"substances susceptibles de donner des torsades de pointes"
"chlorpromazine"	"substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants"
"chlortalidone"	"antihypertenseurs sauf alpha-bloquants"
"chlortalidone"	"diurétiques"
"chlortalidone"	"diurétiques hypokaliémiants"
"chlortalidone"	"diurétiques thiazidiques et apparentés"
"chlortalidone"	"hypokaliémiants"
"chlortalidone"	"hyponatrémiants"
"chlortalidone"	"médicaments abaissant la pression artérielle"
"chlortetracycline"	"cyclines"
"chlortetracycline"	"substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants"
"cholecalciferol"	"vitamine D"
"cibenzoline"	"antiarythmiques"
"ciclesonide"	"corticoïdes métabolisés, notamment inhalés"
"cicletanine"	"antihypertenseurs sauf alpha-bloquants"
"cicletanine"	"diurétiques"
"cicletanine"	"diurétiques hypokaliémiants"
"cicletanine"	"diurétiques thiazidiques et apparentés"
"cicletanine"	"hypokaliémiants"
"cicletanine"	"hyponatrémiants"
"cicletanine"	"médicaments abaissant la pression artérielle"
"ciclosporine"	"hyperkaliémiants"
"ciclosporine"	"immunosuppresseurs"
"ciclosporine"	"médicaments néphrotoxiques"
"ciclosporine"	"substrats à risque du CYP3A4"
"cilazapril"	"antihypertenseurs sauf alpha-bloquants"
"cilazapril"	"hyperkaliémiants"
"cilazapril"	"inhibiteurs de l'enzyme de conversion"
"cilazapril"	"médicaments abaissant la pression artérielle"
"cilazapril"	"médicaments, bradykinine et angio-œdème"
"cimetidine"	"antisécrétoires antihistaminiques H2"
"cimetidine"	"substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants"
"cinacalcet"	"Interactions en propre seulement"
"cineole"	"médicaments abaissant le seuil épileptogène"
"ciprofibrate"	"fibrates"
"ciprofloxacine"	"fluoroquinolones"
"ciprofloxacine"	"médicaments abaissant le seuil épileptogène"
"ciprofloxacine"	"substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants"
"cisatracurium"	"curares"
"cisatracurium"	"curares non dépolarisants"
"cisplatine"	"cytotoxiques"
"cisplatine"	"médicaments néphrotoxiques"
"cisplatine"	"médicaments ototoxiques"
"cisplatine"	"organoplatines"
"citalopram"	"hyponatrémiants"
"citalopram"	"inhibiteurs sélectifs de la recapture de la sérotonine"
"citalopram"	"médicaments abaissant le seuil épileptogène"
"citalopram"	"médicaments à l'origine d'un syndrome sérotoninergique"
"citalopram"	"substances susceptibles de donner des torsades de pointes"
"citalopram"	"torsadogènes (sauf arsénieux, antiparasitaires, neuroleptiques, méthadone...)"
"citrate de gallium [67ga]"	"citrates"
"cladribine"	"cytotoxiques"
"clarithromycine"	"inhibiteurs puissants du CYP3A4"
"clarithromycine"	"macrolides (sauf spiramycine)"
"clévidipine"	"antagonistes des canaux calciques"
"clévidipine"	"antihypertenseurs sauf alpha-bloquants"
"clévidipine"	"dihydropyridines"
"clévidipine"	"médicaments abaissant la pression artérielle"
"clidinium"	"médicaments atropiniques"
"clindamycine"	"lincosanides"
"clindamycine"	"substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants"
"clobazam"	"benzodiazépines et apparentés"
"clobazam"	"médicaments sédatifs"
"clofarabine"	"cytotoxiques"
"clomipramine"	"antidépresseurs imipraminiques"
"clomipramine"	"médicaments abaissant le seuil épileptogène"
"clomipramine"	"médicaments atropiniques"
"clomipramine"	"médicaments mixtes adrénergiques-sérotoninergiques"
"clomipramine"	"médicaments à l'origine d'un syndrome sérotoninergique"
"clomipramine"	"médicaments à l'origine d'une hypotension orthostatique"
"clonazepam"	"benzodiazépines et apparentés"
"clonazepam"	"médicaments sédatifs"
"clonidine"	"antihypertenseurs centraux"
"clonidine"	"antihypertenseurs sauf alpha-bloquants"
"clonidine"	"bradycardisants"
"clonidine"	"médicaments abaissant la pression artérielle"
"clonidine"	"médicaments sédatifs"
"clopamide"	"antihypertenseurs sauf alpha-bloquants"
"clopamide"	"diurétiques"
"clopamide"	"diurétiques hypokaliémiants"
"clopamide"	"diurétiques thiazidiques et apparentés"
"clopamide"	"hypokaliémiants"
"clopamide"	"hyponatrémiants"
"clopamide"	"médicaments abaissant la pression artérielle"
"clopidogrel"	"antiagrégants plaquettaires"
"clorazepate"	"benzodiazépines et apparentés"
"clorazepate"	"médicaments sédatifs"
"clotiazepam"	"benzodiazépines et apparentés"
"clotiazepam"	"médicaments sédatifs"
"cloxacilline"	"pénicillines"
"clozapine"	"médicaments atropiniques"
"clozapine"	"médicaments sédatifs"
"clozapine"	"médicaments à l'origine d'une hypotension orthostatique"
"clozapine"	"médicaments à risque lors du sevrage tabagique"
"clozapine"	"neuroleptiques"
"cobicistat"	"inhibiteurs puissants du CYP3A4"
"cobimétinib"	"inhibiteurs des tyrosine kinases métabolisés"
"cobimétinib"	"substrats à risque du CYP3A4"
"cocaine"	"substances susceptibles de donner des torsades de pointes"
"cocaine"	"torsadogènes (sauf arsénieux, antiparasitaires, neuroleptiques, méthadone...)"
"codeine"	"analgésiques morphiniques agonistes"
"codeine"	"analgésiques morphiniques de palier II"
"codeine"	"antitussifs morphiniques vrais"
"codeine"	"morphiniques"
"codeine"	"médicaments sédatifs"
"colchicine"	"Interactions en propre seulement"
"colesevelam"	"résines chélatrices"
"colestyramine"	"résines chélatrices"
"colistine"	"médicaments néphrotoxiques"
"cortisone"	"corticoïdes"
"cortisone"	"glucocorticoïdes (sauf hydrocortisone)"
"cortisone"	"hypokaliémiants"
"cortisone"	"substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants"
"cortivazol"	"corticoïdes"
"cortivazol"	"glucocorticoïdes (sauf hydrocortisone)"
"cortivazol"	"hypokaliémiants"
"crizotinib"	"bradycardisants"
"crizotinib"	"inhibiteurs des tyrosine kinases métabolisés"
"crizotinib"	"substances susceptibles de donner des torsades de pointes"
"crizotinib"	"substrats à risque du CYP3A4"
"crospovidone"	"topiques gastro-intestinaux, antiacides et adsorbants"
"cyamemazine"	"médicaments abaissant le seuil épileptogène"
"cyamemazine"	"médicaments atropiniques"
"cyamemazine"	"médicaments sédatifs"
"cyamemazine"	"médicaments à l'origine d'une hypotension orthostatique"
"cyamemazine"	"neuroleptiques"
"cyamemazine"	"neuroleptiques antipsychotiques (sauf clozapine)"
"cyamemazine"	"neuroleptiques susceptibles de donner des torsades de pointes"
"cyamemazine"	"substances susceptibles de donner des torsades de pointes"
"cyamemazine"	"substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants"
"cyanocobalamine"	"Interactions en propre seulement"
"cyclopentolate"	"médicaments atropiniques"
"cyclophosphamide"	"cytotoxiques"
"cyclothiazide"	"médicaments abaissant la pression artérielle"
"cyproheptadine"	"médicaments atropiniques"
"cyproheptadine"	"médicaments sédatifs"
"cyproterone"	"Interactions en propre seulement"
"cytarabine"	"cytotoxiques"
"dabigatran"	"anticoagulants oraux"
"dabrafénib"	"inducteurs enzymatiques"
"dabrafénib"	"inhibiteurs des tyrosine kinases métabolisés"
"dabrafénib"	"substrats à risque du CYP3A4"
"dacarbazine"	"cytotoxiques"
"dactinomycine"	"cytotoxiques"
"dalfopristine"	"Interactions en propre seulement"
"dalteparine sodique"	"hyperkaliémiants"
"dalteparine sodique"	"héparines"
"dalteparine sodique"	"héparines (doses curatives et/ou sujet âgé)"
"dalteparine sodique"	"héparines (doses préventives)"
"danaparoide sodique"	"hyperkaliémiants"
"danaparoide sodique"	"héparines"
"danaparoide sodique"	"héparines (doses curatives et/ou sujet âgé)"
"danaparoide sodique"	"héparines (doses préventives)"
"danazol"	"Interactions en propre seulement"
"dantrolene"	"Interactions en propre seulement"
"dapoxétine"	"inhibiteurs sélectifs de la recapture de la sérotonine"
"dapoxétine"	"médicaments sédatifs"
"dapsone"	"médicaments méthémoglobinisants"
"daptomycine"	"Interactions en propre seulement"
"daratumumab"	"anticorps monoclonaux (hors anti-TNF alpha)"
"darifenacine"	"antispasmodiques urinaires"
"darifenacine"	"médicaments atropiniques"
"darunavir"	"inhibiteurs de protéases boostés par ritonavir"
"dasabuvir"	"Interactions en propre seulement"
"dasatinib"	"inhibiteurs des tyrosine kinases métabolisés"
"dasatinib"	"substrats à risque du CYP3A4"
"daunorubicine"	"cytotoxiques"
