"molecule"	"famille"
"acide zoledronique"	"bisphosphonates"
"acitretine"	"rétinoïdes"
"adefovir"	"médicaments néphrotoxiques"
"adrenaline"	"adrénaline (voie bucco-dentaire ou sous-cutanée)"
"adrenaline"	"sympathomimétiques alpha et bêta (voie IM et IV)"
"alcuronium"	"curares"
"alcuronium"	"curares non dépolarisants"
"aldesleukine"	"Interactions en propre seulement"
"alfacalcidol"	"vitamine D"
"alfentanil"	"analgésiques morphiniques agonistes"
"alfentanil"	"analgésiques morphiniques de palier III"
"alfentanil"	"médicaments sédatifs"
"alfentanil"	"morphiniques"
"alfuzosine"	"alphabloquants à visée urologique (sauf doxazosine)"
"alfuzosine"	"médicaments abaissant la pression artérielle"
"alimemazine"	"hypnotiques"
"alimemazine"	"médicaments abaissant la pression artérielle"
"alimemazine"	"médicaments abaissant le seuil épileptogène"
"alimemazine"	"médicaments atropiniques"
"alimemazine"	"médicaments sédatifs"
"alimemazine"	"neuroleptiques"
"alimemazine"	"neuroleptiques phénothiaziniques"
"aliskirene"	"Interactions en propre seulement"
"alitretinoine"	"rétinoïdes"
"alizapride"	"médicaments abaissant la pression artérielle"
"alizapride"	"médicaments sédatifs"
"alizapride"	"neuroleptiques"
"alizapride"	"neuroleptiques antiémétiques"
"allobarbital"	"barbituriques"
"allobarbital"	"médicaments sédatifs"
"allopurinol"	"Interactions en propre seulement"
"alminoprofene"	"anti-inflammatoires non stéroïdiens"
"alminoprofene"	"hyperkaliémiants"
"almotriptan"	"triptans"
"almotriptan"	"triptans métabolisés par la MAO"
"alpha-tocopherol"	"Interactions en propre seulement"
"alprazolam"	"benzodiazépines et apparentés"
"alprazolam"	"médicaments sédatifs"
"alteplase recombinante"	"thrombolytiques"
"altretamine"	"cytotoxiques"
"amantadine"	"antiparkinsoniens dopaminergiques"
"amantadine"	"dopaminergiques"
"ambenonium"	"anticholinestérasiques"
"ambenonium"	"bradycardisants"
"amifostine"	"médicaments abaissant la pression artérielle"
"amikacine"	"aminosides"
"amikacine"	"médicaments néphrotoxiques"
"amiloride"	"antihypertenseurs"
"amiloride"	"antihypertenseurs sauf alpha-bloquants"
"amiloride"	"diurétiques"
"amiloride"	"diurétiques épargneurs de potassium (seuls ou associés)"
"amiloride"	"hyperkaliémiants"
"amiloride"	"hyponatrémiants"
"amiloride"	"médicaments abaissant la pression artérielle"
"aminoglutethimide"	"Interactions en propre seulement"
"aminophylline"	"théophylline (et, par extrapolation, aminophylline)"
"amiodarone"	"antiarythmiques"
"amiodarone"	"autres médicaments susceptibles de donner des torsades de pointes"
"amiodarone"	"bradycardisants"
"amiodarone"	"médicaments susceptibles de donner des torsades de pointes"
"amiodarone"	"torsadogènes (sauf antiparasitaires, neuroleptiques, méthadone)"
"amisulpride"	"médicaments abaissant la pression artérielle"
"amisulpride"	"médicaments sédatifs"
"amisulpride"	"médicaments susceptibles de donner des torsades de pointes"
"amisulpride"	"neuroleptiques"
"amisulpride"	"neuroleptiques antipsychotiques (sauf clozapine)"
"amisulpride"	"neuroleptiques susceptibles de donner des torsades de pointes"
"amitriptyline"	"antidépresseurs imipraminiques"
"amitriptyline"	"médicaments abaissant la pression artérielle"
"amitriptyline"	"médicaments abaissant le seuil épileptogène"
"amitriptyline"	"médicaments atropiniques"
"amitriptyline"	"médicaments mixtes adrénergiques-sérotoninergiques"
"amitriptyline"	"médicaments sédatifs"
"amlodipine"	"antagonistes des canaux calciques"
"amlodipine"	"antihypertenseurs"
"amlodipine"	"antihypertenseurs sauf alpha-bloquants"
"amlodipine"	"dihydropyridines"
"amlodipine"	"médicaments abaissant la pression artérielle"
"amobarbital"	"barbituriques"
"amobarbital"	"médicaments sédatifs"
"amoxapine"	"antidépresseurs imipraminiques"
"amoxapine"	"médicaments abaissant la pression artérielle"
"amoxapine"	"médicaments abaissant le seuil épileptogène"
"amoxapine"	"médicaments atropiniques"
"amoxicilline"	"pénicillines"
"amoxicilline"	"pénicillines A"
"amphotericine b"	"hypokaliémiants"
"amphotericine b"	"médicaments néphrotoxiques"
"ampicilline"	"pénicillines"
"ampicilline"	"pénicillines A"
"amprenavir"	"amprénavir (et, par extrapolation, fosamprénavir)"
"amprenavir"	"inhibiteurs de protéase"
"amprenavir"	"inhibiteurs de protéase (sauf ritonavir)"
"amsacrine"	"cytotoxiques"
"anakinra"	"Interactions en propre seulement"
"apomorphine"	"antiparkinsoniens dopaminergiques"
"apomorphine"	"dopaminergiques"
"aprepitant"	"Interactions en propre seulement"
"aripiprazole"	"médicaments abaissant la pression artérielle"
"aripiprazole"	"médicaments sédatifs"
"aripiprazole"	"neuroleptiques"
"aripiprazole"	"neuroleptiques antipsychotiques (sauf clozapine)"
"arsenieux"	"médicaments susceptibles de donner des torsades de pointes"
"asparaginase"	"cytotoxiques"
"atazanavir"	"inhibiteurs de protéase"
"atazanavir"	"inhibiteurs de protéase (sauf ritonavir)"
"atenolol"	"antihypertenseurs"
"atenolol"	"antihypertenseurs sauf alpha-bloquants"
"atenolol"	"bêta-bloquants (sauf esmolol et sotalol)"
"atenolol"	"bêta-bloquants (sauf esmolol)"
"atenolol"	"bradycardisants"
"atenolol"	"médicaments abaissant la pression artérielle"
"atorvastatine"	"substrats à risque du CYP3A4"
"atracurium"	"curares"
"atracurium"	"curares non dépolarisants"
"atropine"	"médicaments atropiniques"
"avizafone"	"benzodiazépines et apparentés"
"avizafone"	"médicaments sédatifs"
"azatadine"	"médicaments atropiniques"
"azatadine"	"médicaments sédatifs"
"azathioprine"	"cytotoxiques"
"azelastine"	"médicaments atropiniques"
"azelastine"	"médicaments sédatifs"
"azithromycine"	"macrolides (sauf spiramycine)"
"aztreonam"	"Interactions en propre seulement"
"bacampicilline"	"pénicillines"
"bacampicilline"	"pénicillines A"
"baclofene"	"médicaments abaissant la pression artérielle"
"baclofene"	"médicaments sédatifs"
"bambuterol"	"bêta-2 mimétiques"
"barbital"	"barbituriques"
"barbital"	"médicaments sédatifs"
"barnidipine"	"antagonistes des canaux calciques"
"barnidipine"	"antihypertenseurs"
"barnidipine"	"antihypertenseurs sauf alpha-bloquants"
"barnidipine"	"dihydropyridines"
"barnidipine"	"médicaments abaissant la pression artérielle"
"bcg"	"vaccins vivants atténués"
"bcg"	"vaccins vivants atténués (sauf antiamarile)"
"befunolol"	"antihypertenseurs"
"befunolol"	"antihypertenseurs sauf alpha-bloquants"
"befunolol"	"bêta-bloquants (sauf esmolol et sotalol)"
"befunolol"	"bêta-bloquants (sauf esmolol)"
"befunolol"	"bradycardisants"
"befunolol"	"médicaments abaissant la pression artérielle"
"benazepril"	"antihypertenseurs"
"benazepril"	"antihypertenseurs sauf alpha-bloquants"
"benazepril"	"hyperkaliémiants"
"benazepril"	"inhibiteurs de l'enzyme de conversion"
"benazepril"	"médicaments abaissant la pression artérielle"
"bendroflumethiazide"	"antihypertenseurs"
"bendroflumethiazide"	"antihypertenseurs sauf alpha-bloquants"
"bendroflumethiazide"	"diurétiques"
"bendroflumethiazide"	"diurétiques hypokaliémiants"
"bendroflumethiazide"	"diurétiques thiazidiques et apparentés"
"bendroflumethiazide"	"hypokaliémiants"
"bendroflumethiazide"	"hyponatrémiants"
"bendroflumethiazide"	"médicaments abaissant la pression artérielle"
"benethamine-penicilline"	"pénicillines"
"benzalkonium"	"spermicides"
"benzbromarone"	"uricosuriques"
"benzylpenicilline"	"pénicillines"
"bepridil"	"antagonistes des canaux calciques"
"bepridil"	"antiarythmiques"
"bepridil"	"antihypertenseurs"
"bepridil"	"antihypertenseurs sauf alpha-bloquants"
"bepridil"	"autres médicaments susceptibles de donner des torsades de pointes"
"bepridil"	"bradycardisants"
"bepridil"	"médicaments abaissant la pression artérielle"
"bepridil"	"médicaments susceptibles de donner des torsades de pointes"
"bepridil"	"torsadogènes (sauf antiparasitaires, neuroleptiques, méthadone)"
"betamethasone"	"glucocorticoïdes (sauf hydrocortisone en traitement substitutif)"
"betamethasone"	"hypokaliémiants"
"betaxolol"	"antihypertenseurs"
"betaxolol"	"antihypertenseurs sauf alpha-bloquants"
"betaxolol"	"bêta-bloquants (sauf esmolol et sotalol)"
"betaxolol"	"bêta-bloquants (sauf esmolol)"
"betaxolol"	"bradycardisants"
"betaxolol"	"médicaments abaissant la pression artérielle"
"bezafibrate"	"fibrates"
"bezafibrate"	"fibrates (sauf gemfibrozil)"
"biperidene"	"antiparkinsoniens anticholinergiques"
"biperidene"	"médicaments atropiniques"
"bisacodyl"	"hypokaliémiants"
"bisoprolol"	"antihypertenseurs"
"bisoprolol"	"antihypertenseurs sauf alpha-bloquants"
"bisoprolol"	"bêta-bloquants (sauf esmolol et sotalol)"
"bisoprolol"	"bêta-bloquants (sauf esmolol)"
"bisoprolol"	"bêta-bloquants dans l'insuffisance cardiaque"
"bisoprolol"	"bradycardisants"
"bisoprolol"	"médicaments abaissant la pression artérielle"
"bleomycine"	"cytotoxiques"
"boldo"	"hypokaliémiants"
"bosentan"	"Interactions en propre seulement"
"botulique (toxine)"	"Interactions en propre seulement"
"bourdaine"	"hypokaliémiants"
"bromazepam"	"benzodiazépines et apparentés"
"bromazepam"	"médicaments sédatifs"
"bromocriptine"	"alcaloïdes de l'ergot de seigle dopaminergiques"
"bromocriptine"	"antiparkinsoniens dopaminergiques"
"bromocriptine"	"dopaminergiques"
"brompheniramine"	"médicaments atropiniques"
"brompheniramine"	"médicaments sédatifs"
"brotizolam"	"benzodiazépines et apparentés"
"brotizolam"	"médicaments sédatifs"
"buclizine"	"médicaments atropiniques"
"buclizine"	"médicaments sédatifs"
"budesonide"	"corticoïdes inhalés"
"budesonide"	"glucocorticoïdes (sauf hydrocortisone en traitement substitutif)"
"buflomedil"	"Interactions en propre seulement"
"bumetanide"	"antihypertenseurs"
"bumetanide"	"antihypertenseurs sauf alpha-bloquants"
"bumetanide"	"diurétiques"
"bumetanide"	"diurétiques de l'anse"
"bumetanide"	"diurétiques hypokaliémiants"
"bumetanide"	"hypokaliémiants"
"bumetanide"	"hyponatrémiants"
"bumetanide"	"médicaments abaissant la pression artérielle"
"buprenorphine"	"médicaments sédatifs"
"buprenorphine"	"morphiniques"
"buprenorphine"	"morphiniques agonistes-antagonistes"
"buprenorphine"	"morphiniques en traitement de substitution"
"bupropione"	"médicaments abaissant le seuil épileptogène"
"buspirone"	"Interactions en propre seulement"
"busulfan"	"cytotoxiques"
"butalbital"	"barbituriques"
"butalbital"	"médicaments sédatifs"
"butobarbital"	"barbituriques"
"butobarbital"	"médicaments sédatifs"
"cabergoline"	"alcaloïdes de l'ergot de seigle dopaminergiques"
"cabergoline"	"dopaminergiques"
"cabergoline"	"dopaminergiques, hors Parkinson"
"cafeine"	"Interactions en propre seulement"
"calcitonine"	"Interactions en propre seulement"
"calcitriol"	"vitamine D"
"calcium"	"Interactions en propre seulement"
"camazepam"	"benzodiazépines et apparentés"
"camazepam"	"médicaments sédatifs"
"candesartan cilexetil"	"antagonistes des récepteurs de l'angiotensine II"
"candesartan cilexetil"	"antihypertenseurs"
"candesartan cilexetil"	"antihypertenseurs sauf alpha-bloquants"
"candesartan cilexetil"	"hyperkaliémiants"
"candesartan cilexetil"	"médicaments abaissant la pression artérielle"
"canrenoate de potassium"	"antihypertenseurs"
"canrenoate de potassium"	"antihypertenseurs sauf alpha-bloquants"
"canrenoate de potassium"	"diurétiques"
"canrenoate de potassium"	"diurétiques épargneurs de potassium (seuls ou associés)"
"canrenoate de potassium"	"hyperkaliémiants"
"canrenoate de potassium"	"hyponatrémiants"
"canrenoate de potassium"	"médicaments abaissant la pression artérielle"
"capecitabine"	"cytotoxiques"
"capecitabine"	"fluorouracile (et, par extrapolation, tegafur et capécitabine)"
"captodiame"	"médicaments sédatifs"
"captopril"	"antihypertenseurs"
"captopril"	"antihypertenseurs sauf alpha-bloquants"
"captopril"	"hyperkaliémiants"
"captopril"	"inhibiteurs de l'enzyme de conversion"
"captopril"	"médicaments abaissant la pression artérielle"
"carbamazepine"	"anticonvulsivants inducteurs enzymatiques"
"carbamazepine"	"hyponatrémiants"
"carbamazepine"	"inducteurs enzymatiques"
"carbinoxamine"	"médicaments sédatifs"
"carboplatine"	"cytotoxiques"
"carboplatine"	"médicaments néphrotoxiques"
"carboplatine"	"organoplatines"
"carbutamide"	"sulfamides hypoglycémiants"
"carmustine"	"cytotoxiques"
"carpipramine"	"médicaments abaissant la pression artérielle"
"carpipramine"	"neuroleptiques"
"carpipramine"	"neuroleptiques antipsychotiques (sauf clozapine)"
"carteolol"	"antihypertenseurs"
"carteolol"	"antihypertenseurs sauf alpha-bloquants"
"carteolol"	"bêta-bloquants (sauf esmolol et sotalol)"
"carteolol"	"bêta-bloquants (sauf esmolol)"
"carteolol"	"bradycardisants"
"carteolol"	"médicaments abaissant la pression artérielle"
"carvedilol"	"bêta-bloquants dans l'insuffisance cardiaque"
"carvedilol"	"bradycardisants"
"carvedilol"	"médicaments abaissant la pression artérielle"
"cascara"	"hypokaliémiants"
"cascara sagrada"	"hypokaliémiants"
"catioresine sulfo sodique"	"Interactions en propre seulement"
"cefalotine"	"Interactions en propre seulement"
"cefamandole"	"antabuse (réaction)"
"cefoperazone"	"Interactions en propre seulement"
"cefotetan"	"Interactions en propre seulement"
"ceftriaxone"	"Interactions en propre seulement"
"celecoxib"	"anti-inflammatoires non stéroïdiens"
"celecoxib"	"hyperkaliémiants"
"celiprolol"	"antihypertenseurs"
"celiprolol"	"antihypertenseurs sauf alpha-bloquants"
"celiprolol"	"bêta-bloquants (sauf esmolol et sotalol)"
"celiprolol"	"bêta-bloquants (sauf esmolol)"
"celiprolol"	"bradycardisants"
"celiprolol"	"médicaments abaissant la pression artérielle"
"cetalkonium"	"spermicides"
"chlorambucil"	"cytotoxiques"
"chlordiazepoxide"	"benzodiazépines et apparentés"
"chlordiazepoxide"	"médicaments sédatifs"
"chlormadinone"	"progestatifs non contraceptifs, associés ou non à un estrogène"
"chlormethine"	"cytotoxiques"
"chloroquine"	"médicaments abaissant le seuil épileptogène"
"chlorphenamine"	"médicaments sédatifs"
"chlorphenoxamine"	"médicaments sédatifs"
"chlorproethazine"	"médicaments abaissant la pression artérielle"
"chlorproethazine"	"médicaments abaissant le seuil épileptogène"
"chlorproethazine"	"médicaments atropiniques"
"chlorproethazine"	"médicaments sédatifs"
"chlorproethazine"	"neuroleptiques"
"chlorproethazine"	"neuroleptiques phénothiaziniques"
"chlorpromazine"	"médicaments abaissant la pression artérielle"
"chlorpromazine"	"médicaments abaissant le seuil épileptogène"
"chlorpromazine"	"médicaments atropiniques"
"chlorpromazine"	"médicaments sédatifs"
"chlorpromazine"	"médicaments susceptibles de donner des torsades de pointes"
"chlorpromazine"	"neuroleptiques"
"chlorpromazine"	"neuroleptiques antipsychotiques (sauf clozapine)"
"chlorpromazine"	"neuroleptiques phénothiaziniques"
"chlorpromazine"	"neuroleptiques susceptibles de donner des torsades de pointes"
"chlorpropamide"	"sulfamides hypoglycémiants"
"chlortalidone"	"antihypertenseurs"
"chlortalidone"	"antihypertenseurs sauf alpha-bloquants"
"chlortalidone"	"diurétiques"
"chlortalidone"	"diurétiques hypokaliémiants"
"chlortalidone"	"diurétiques thiazidiques et apparentés"
"chlortalidone"	"hypokaliémiants"
"chlortalidone"	"hyponatrémiants"
"chlortalidone"	"médicaments abaissant la pression artérielle"
"chlortetracycline"	"cyclines"
"cholecalciferol"	"vitamine D"
"cibenzoline"	"antiarythmiques"
"cibenzoline"	"antiarythmiques classe I (sauf lidocaïne)"
"cicletanine"	"antihypertenseurs"
"cicletanine"	"antihypertenseurs sauf alpha-bloquants"
"cicletanine"	"diurétiques"
"cicletanine"	"diurétiques hypokaliémiants"
"cicletanine"	"diurétiques thiazidiques et apparentés"
"cicletanine"	"hypokaliémiants"
"cicletanine"	"hyponatrémiants"
"cicletanine"	"médicaments abaissant la pression artérielle"
"ciclosporine"	"hyperkaliémiants"
"ciclosporine"	"immunosuppresseurs"
"ciclosporine"	"médicaments néphrotoxiques"
"ciclosporine"	"substrats à risque du CYP3A4"
"cidofovir"	"médicaments néphrotoxiques"
"cilazapril"	"antihypertenseurs"
"cilazapril"	"antihypertenseurs sauf alpha-bloquants"
"cilazapril"	"hyperkaliémiants"
"cilazapril"	"inhibiteurs de l'enzyme de conversion"
"cilazapril"	"médicaments abaissant la pression artérielle"
"cimetidine"	"antisécrétoires antihistaminiques H2"
"cinacalcet"	"Interactions en propre seulement"
"ciprofibrate"	"fibrates"
"ciprofibrate"	"fibrates (sauf gemfibrozil)"
"ciprofloxacine"	"fluoroquinolones"
"cisapride"	"autres médicaments susceptibles de donner des torsades de pointes"
"cisapride"	"médicaments susceptibles de donner des torsades de pointes"
"cisapride"	"substrats à risque du CYP3A4"
"cisapride"	"torsadogènes (sauf antiparasitaires, neuroleptiques, méthadone)"
"cisatracurium"	"curares"
"cisatracurium"	"curares non dépolarisants"
"cisplatine"	"cytotoxiques"
"cisplatine"	"médicaments néphrotoxiques"
"cisplatine"	"organoplatines"
"citalopram"	"hyponatrémiants"
"citalopram"	"inhibiteurs sélectifs de la recapture de la sérotonine"
"citalopram"	"médicaments abaissant le seuil épileptogène"
"cladribine"	"cytotoxiques"
"clarithromycine"	"inhibiteurs puissants du CYP3A4"
"clarithromycine"	"macrolides (sauf spiramycine)"
"clidinium"	"médicaments atropiniques"
"clindamycine"	"lincosanides"
"clobazam"	"benzodiazépines et apparentés"
"clobazam"	"médicaments sédatifs"
"clocinizine"	"médicaments sédatifs"
"clofibrate"	"fibrates"
"clofibrate"	"fibrates (sauf gemfibrozil)"
"clomipramine"	"antidépresseurs imipraminiques"
"clomipramine"	"médicaments abaissant la pression artérielle"
"clomipramine"	"médicaments abaissant le seuil épileptogène"
"clomipramine"	"médicaments atropiniques"
"clomipramine"	"médicaments mixtes adrénergiques-sérotoninergiques"
"clonazepam"	"benzodiazépines et apparentés"
"clonazepam"	"médicaments sédatifs"
"clonidine"	"antihypertenseurs"
"clonidine"	"antihypertenseurs centraux"
"clonidine"	"antihypertenseurs sauf alpha-bloquants"
"clonidine"	"bradycardisants"
"clonidine"	"médicaments abaissant la pression artérielle"
"clonidine"	"médicaments sédatifs"
"clopamide"	"antihypertenseurs"
"clopamide"	"antihypertenseurs sauf alpha-bloquants"
"clopamide"	"diurétiques"
"clopamide"	"diurétiques hypokaliémiants"
"clopamide"	"diurétiques thiazidiques et apparentés"
"clopamide"	"hypokaliémiants"
"clopamide"	"hyponatrémiants"
"clopamide"	"médicaments abaissant la pression artérielle"
"clopidogrel"	"antiagrégants plaquettaires"
"clorazepate"	"benzodiazépines et apparentés"
"clorazepate"	"médicaments sédatifs"
"clotiazepam"	"benzodiazépines et apparentés"
"clotiazepam"	"médicaments sédatifs"
"cloxacilline"	"pénicillines"
"cloxazolam"	"benzodiazépines et apparentés"
"cloxazolam"	"médicaments sédatifs"
"clozapine"	"médicaments à risque lors du sevrage tabagique"
"clozapine"	"médicaments abaissant la pression artérielle"
"clozapine"	"médicaments atropiniques"
"clozapine"	"médicaments sédatifs"
"clozapine"	"neuroleptiques"
"codeine"	"analgésiques morphiniques agonistes"
"codeine"	"analgésiques morphiniques de palier II"
"codeine"	"antitussifs morphiniques vrais"
"codeine"	"médicaments sédatifs"
"codeine"	"morphiniques"
"colchicine"	"Interactions en propre seulement"
"colestyramine"	"Interactions en propre seulement"
"colistine"	"Interactions en propre seulement"
"cortisone"	"glucocorticoïdes (sauf hydrocortisone en traitement substitutif)"
"cortisone"	"hypokaliémiants"
"cortivazol"	"glucocorticoïdes (sauf hydrocortisone en traitement substitutif)"
"cortivazol"	"hypokaliémiants"
"cyamemazine"	"médicaments abaissant la pression artérielle"
"cyamemazine"	"médicaments abaissant le seuil épileptogène"
"cyamemazine"	"médicaments atropiniques"
"cyamemazine"	"médicaments sédatifs"
"cyamemazine"	"médicaments susceptibles de donner des torsades de pointes"
"cyamemazine"	"neuroleptiques"
"cyamemazine"	"neuroleptiques antipsychotiques (sauf clozapine)"
"cyamemazine"	"neuroleptiques phénothiaziniques"
"cyamemazine"	"neuroleptiques susceptibles de donner des torsades de pointes"
"cyanocobalamine"	"Interactions en propre seulement"
"cyclizine"	"médicaments sédatifs"
"cyclobarbital"	"barbituriques"
"cyclobarbital"	"médicaments sédatifs"
"cyclopentolate"	"médicaments atropiniques"
"cyclophosphamide"	"cytotoxiques"
"cyclothiazide"	"antihypertenseurs"
"cyclothiazide"	"antihypertenseurs sauf alpha-bloquants"
"cyclothiazide"	"diurétiques"
"cyclothiazide"	"diurétiques hypokaliémiants"
"cyclothiazide"	"diurétiques thiazidiques et apparentés"
"cyclothiazide"	"hypokaliémiants"
"cyclothiazide"	"hyponatrémiants"
"cyclothiazide"	"médicaments abaissant la pression artérielle"
"cyproheptadine"	"médicaments atropiniques"
"cyproheptadine"	"médicaments sédatifs"
"cyproterone"	"progestatifs contraceptifs"
"cytarabine"	"cytotoxiques"
"dacarbazine"	"cytotoxiques"
"dactinomycine"	"cytotoxiques"
"dalfopristine"	"Interactions en propre seulement"
"dalteparine sodique"	"héparines"
"dalteparine sodique"	"héparines de bas poids moléculaire et apparentés (doses curatives et/ou sujet âgé)"
"dalteparine sodique"	"héparines de bas poids moléculaire et apparentés (doses préventives)"
"dalteparine sodique"	"hyperkaliémiants"
"danaparoide sodique"	"héparines"
"danaparoide sodique"	"héparines de bas poids moléculaire et apparentés (doses curatives et/ou sujet âgé)"
"danaparoide sodique"	"héparines de bas poids moléculaire et apparentés (doses préventives)"
"danaparoide sodique"	"hyperkaliémiants"
"danazol"	"Interactions en propre seulement"
"dantrolene"	"Interactions en propre seulement"
"dapsone"	"Interactions en propre seulement"
"darifenacine"	"médicaments atropiniques"
"darunavir"	"inhibiteurs de protéase"
"daunorubicine"	"cytotoxiques"
"deferasirox"	"Interactions en propre seulement"
"deferoxamine"	"Interactions en propre seulement"
"delorazepam"	"benzodiazépines et apparentés"
"delorazepam"	"médicaments sédatifs"
"desflurane"	"anesthésiques volatils halogénés"
"desipramine"	"antidépresseurs imipraminiques"
"desipramine"	"médicaments abaissant la pression artérielle"
"desipramine"	"médicaments abaissant le seuil épileptogène"
"desipramine"	"médicaments atropiniques"
"desirudine"	"héparines"
"desirudine"	"héparines de bas poids moléculaire et apparentés (doses curatives et/ou sujet âgé)"
"desirudine"	"héparines de bas poids moléculaire et apparentés (doses préventives)"
"desirudine"	"hyperkaliémiants"
"deslanoside"	"bradycardisants"
"deslanoside"	"digitaliques"
"desmopressine"	"hyponatrémiants"
"desogestrel"	"progestatifs contraceptifs"
"desoxycortone"	"minéralocorticoïdes"
"dexamethasone"	"glucocorticoïdes (sauf hydrocortisone en traitement substitutif)"
"dexamethasone"	"hypokaliémiants"
"dexchlorpheniramine"	"médicaments atropiniques"
"dexchlorpheniramine"	"médicaments sédatifs"
"dexketoprofene trometamol"	"anti-inflammatoires non stéroïdiens"
"dexketoprofene trometamol"	"hyperkaliémiants"
"dextran"	"dextran 40"
"dextromethorphane"	"antitussifs morphine-like"
"dextromethorphane"	"médicaments sédatifs"
"dextromethorphane"	"morphiniques"
"dextromoramide"	"analgésiques morphiniques agonistes"
"dextromoramide"	"analgésiques morphiniques de palier III"
"dextromoramide"	"médicaments sédatifs"
"dextromoramide"	"morphiniques"
"dextropropoxyphene"	"analgésiques morphiniques agonistes"
"dextropropoxyphene"	"analgésiques morphiniques de palier II"
"dextropropoxyphene"	"médicaments sédatifs"
"dextropropoxyphene"	"morphiniques"
"di(acefylline) diphenhydramine"	"médicaments atropiniques"
"di(acefylline) diphenhydramine"	"médicaments sédatifs"
"diazepam"	"benzodiazépines et apparentés"
"diazepam"	"médicaments sédatifs"
"dibekacine"	"aminosides"
"dibekacine"	"médicaments néphrotoxiques"
"diclofenac"	"anti-inflammatoires non stéroïdiens"
"diclofenac"	"hyperkaliémiants"
"dicloxacilline"	"pénicillines"
"didanosine"	"Interactions en propre seulement"
"diethylstilbestrol"	"estrogènes non contraceptifs"
"digitoxine"	"bradycardisants"
"digitoxine"	"digitaliques"
"digoxine"	"bradycardisants"
"digoxine"	"digitaliques"
"dihexyverine"	"médicaments atropiniques"
"dihydralazine"	"antihypertenseurs"
"dihydralazine"	"antihypertenseurs sauf alpha-bloquants"
"dihydralazine"	"médicaments abaissant la pression artérielle"
"dihydrocodeine"	"analgésiques morphiniques agonistes"
"dihydrocodeine"	"analgésiques morphiniques de palier II"
"dihydrocodeine"	"médicaments sédatifs"
"dihydrocodeine"	"morphiniques"
"dihydroergotamine"	"alcaloïdes de l'ergot de seigle vasoconstricteurs"
"dihydroergotamine"	"substrats à risque du CYP3A4"
"diltiazem"	"antagonistes des canaux calciques"
"diltiazem"	"antiarythmiques"
"diltiazem"	"antihypertenseurs"
"diltiazem"	"antihypertenseurs sauf alpha-bloquants"
"diltiazem"	"bradycardisants"
"diltiazem"	"médicaments abaissant la pression artérielle"
"dimenhydrinate"	"médicaments atropiniques"
"dimenhydrinate"	"médicaments sédatifs"
