protagoniste1	protagoniste2	description_interaction	description_medoc	mecanisme	CI	AD	PE	PC
ACIDE ACETYLSALICYLIQUE	CLOPIDOGREL	ASDEC - PE Association deconseillee : - en dehors des indications validees pour cette association dans les syndromes coronariens aigus. 	Voir aussi : antiagregants plaquettaires - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	 : - dans les indications validees pour cette association dans les syndromes coronariens aigus. Surveillance clinique. Majoration du risque hemorragique par addition des activites antiagregantes plaquettaires.		ASDEC - PE Association deconseillee : - en dehors des indications validees pour cette association dans les syndromes coronariens aigus. 	ASDEC - PE Association deconseillee : - en dehors des indications validees pour cette association dans les syndromes coronariens aigus. 	
ACIDE ACETYLSALICYLIQUE	DEFERASIROX	A prendre en compte Avec l'acide acetylsalicylique a doses anti-inflammatoires (>= 1g 	Voir aussi : antiagregants plaquettaires - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Avec l'acide acetylsalicylique a doses anti-inflammatoires (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou antipyretiques (>= 500 mg par prise et/ou < 3g par jour) : majoration du risque ulcerogene et hemorragique digestif.				
ACIDE ACETYLSALICYLIQUE	DIURETIQUES	Precaution d'emploi Hydrater le malade et surveiller la fonction renale en debut de traitement. 	Voir aussi : antiagregants plaquettaires - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Pour des doses anti-inflammatoires d'acide acetylsalicylique (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou antipyretiques (>= 500 mg par prise et/ou < 3g par jour) : Insuffisance renale aigue chez le malade deshydrate, par diminution de la filtration glomerulaire secondaire a une diminution de la synthese des prostaglandines renales. Par ailleurs, reduction de l'effet antihypertenseur. Thesaurus des interactions medicamenteuses			 Hydrater le malade et surveiller la fonction renale en debut de traitement. 	
ACIDE ACETYLSALICYLIQUE	GLUCOCORTICOIDES (SAUF HYDROCORTISONE)	ASDEC - APEC Association deconseillee avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) A prendre en compte avec : - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour). 	Voir aussi : antiagregants plaquettaires - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Majoration du risque hemorragique.		ASDEC - APEC Association deconseillee avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) avec : - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour). 		ASDEC - APEC Association deconseillee avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) avec : - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour). 
ACIDE ACETYLSALICYLIQUE	HEPARINES DE BAS POIDS MOLECULAIRE ET APPARENTES (DOSES CURATIVES ET/OU SUJET AGE)	ASDEC - APEC Association deconseillee avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) Utiliser un autre anti-inflammatoire ou un autre antalgique ou antipyretique. 	Voir aussi : antiagregants plaquettaires - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	 avec : - des doses antiagregantes (de 50 mg a 375 mg par jour). Augmentation du risque hemorragique (inhibition de la fonction plaquettaire et agression de la muqueuse gastroduodenale par l'acide acetylsalicylique.		ASDEC - APEC Association deconseillee avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) Utiliser un autre anti-inflammatoire ou un autre antalgique ou antipyretique. 		ASDEC - APEC Association deconseillee avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) Utiliser un autre anti-inflammatoire ou un autre antalgique ou antipyretique. 
ACIDE ACETYLSALICYLIQUE	HEPARINES DE BAS POIDS MOLECULAIRE ET APPARENTES (DOSES PREVENTIVES)	A prendre en compte L'utilisation conjointe de medicaments agissant a divers niveaux de 	Voir aussi : antiagregants plaquettaires - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	L'utilisation conjointe de medicaments agissant a divers niveaux de l'hemostase majore le risque de saignement. Ainsi, chez le sujet de moins de 65 ans, l'association de l'heparine a doses preventives, ou de substances apparentees, a l'acide acetylsalicylique, quelle que soit la dose, doit etre prise en compte en maintenant une surveillance clinique et eventuellement biologique.				
ACIDE ACETYLSALICYLIQUE	HEPARINES NON FRACTIONNEES (DOSES CURATIVES ET/OU SUJET AGE)	ASDEC - APEC Association deconseillee avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) Utiliser un autre anti-inflammatoire ou un autre antalgique ou antipyretique. 	Voir aussi : antiagregants plaquettaires - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	 avec : - des doses antiagregantes (de 50 mg a 375 mg par jour). Augmentation du risque hemorragique (inhibition de la fonction plaquettaire et agression de la muqueuse gastroduodenale par l'acide acetylsalicylique).		ASDEC - APEC Association deconseillee avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) Utiliser un autre anti-inflammatoire ou un autre antalgique ou antipyretique. 		ASDEC - APEC Association deconseillee avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) Utiliser un autre anti-inflammatoire ou un autre antalgique ou antipyretique. 
ACIDE ACETYLSALICYLIQUE	HEPARINES NON FRACTIONNEES (DOSES PREVENTIVES)	A prendre en compte L'utilisation conjointe de medicaments agissant a divers niveaux de 	Voir aussi : antiagregants plaquettaires - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	L'utilisation conjointe de medicaments agissant a divers niveaux de l'hemostase majore le risque de saignement. Ainsi, chez le sujet de moins de 65 ans, l'association des heparines a doses preventives a l'acide acetylsalicylique, quelle que soit la dose, doit etre prise en compte en maintenant une surveillance clinique et eventuellement biologique.				
ACIDE ACETYLSALICYLIQUE	INHIBITEURS DE L'ENZYME DE CONVERSION	Precaution d'emploi Hydrater le malade et surveiller la fonction renale en debut de traitement. 	Voir aussi : antiagregants plaquettaires - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Pour des doses anti-inflammatoires d'acide acetylsalicylique (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou antipyretiques (>= 500 mg par prise et/ou < 3g par jour) : Insuffisance renale aigue chez le malade deshydrate, par diminution de la filtration glomerulaire secondaire a une diminution de la synthese des prostaglandines renales. Par ailleurs, reduction de l'effet antihypertenseur.			 Hydrater le malade et surveiller la fonction renale en debut de traitement. 	
ACIDE ACETYLSALICYLIQUE	INHIBITEURS SELECTIFS DE LA RECAPTURE DE LA SEROTONINE	A prendre en compte Majoration du risque hemorragique.	Voir aussi : antiagregants plaquettaires - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Majoration du risque hemorragique.				
ACIDE ACETYLSALICYLIQUE	METHOTREXATE	CI - PE Avec le methotrexate utilise a des doses > 20 mg/semaine : - contre-indication avec l'acide acetylsalicylique utilise a doses antalgiques, antipyretiques ou anti-inflammatoires - precaution d'emploi avec des doses antiagregantes plaquettaires d'acide acetylsalicylique. Controle hebdomadaire de l'hemogramme durant les premieres semaines de l'association. Surveillance accrue en cas d'alteration (meme legere) de la fonction renale, ainsi que chez le sujet age. Avec le methotrexate utilise a des doses =< 20 mg/semaine : - precaution d'emploi avec l'acide acetylsalicylique utilise a doses antalgiques, antipyretiques ou anti-inflammatoires. Controle hebdomadaire de l'hemogramme durant les premieres semaines de l'association. Surveillance accrue en cas d'alteration (meme legere) de la fonction renale, ainsi que chez le sujet age. 	Voir aussi : antiagregants plaquettaires - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Majoration de la toxicite, notamment hematologique, du methotrexate (diminution de sa clairance renale par l'acide acetylsalicylique). Thesaurus des interactions medicamenteuses	CI - PE Avec le methotrexate utilise a des doses > 20 mg/semaine : - contre-indication avec l'acide acetylsalicylique utilise a doses antalgiques, antipyretiques ou anti-inflammatoires - precaution d'emploi avec des doses antiagregantes plaquettaires d'acide acetylsalicylique. Controle hebdomadaire de l'hemogramme durant les premieres semaines de l'association. Surveillance accrue en cas d'alteration (meme legere) de la fonction renale, ainsi que chez le sujet age. Avec le methotrexate utilise a des doses =< 20 mg/semaine : - precaution d'emploi avec l'acide acetylsalicylique utilise a doses antalgiques, antipyretiques ou anti-inflammatoires. Controle hebdomadaire de l'hemogramme durant les premieres semaines de l'association. Surveillance accrue en cas d'alteration (meme legere) de la fonction renale, ainsi que chez le sujet age. 		CI - PE Avec le methotrexate utilise a des doses > 20 mg/semaine : - contre-indication avec l'acide acetylsalicylique utilise a doses antalgiques, antipyretiques ou anti-inflammatoires - precaution d'emploi avec des doses antiagregantes plaquettaires d'acide acetylsalicylique. Controle hebdomadaire de l'hemogramme durant les premieres semaines de l'association. Surveillance accrue en cas d'alteration (meme legere) de la fonction renale, ainsi que chez le sujet age. Avec le methotrexate utilise a des doses =< 20 mg/semaine : - precaution d'emploi avec l'acide acetylsalicylique utilise a doses antalgiques, antipyretiques ou anti-inflammatoires. Controle hebdomadaire de l'hemogramme durant les premieres semaines de l'association. Surveillance accrue en cas d'alteration (meme legere) de la fonction renale, ainsi que chez le sujet age. 	
ACIDE ACETYLSALICYLIQUE	PEMETREXED	ASDEC - PE Association deconseillee : - en cas de fonction renale faible a moderee . 	Voir aussi : antiagregants plaquettaires - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	 : - en cas de fonction renale normale. Surveillance biologique de la fonction renale. Risque de majoration de la toxicite du pemetrexed (diminution de sa clairance renale par l'acide acetylsalicylique a doses anti- inflammatoires).		ASDEC - PE Association deconseillee : - en cas de fonction renale faible a moderee . 	ASDEC - PE Association deconseillee : - en cas de fonction renale faible a moderee . 	
ACIDE ACETYLSALICYLIQUE	PROBENECIDE	Association DECONSEILLEE Diminution de l'effet uricosurique par competition de l'elimination de 	Voir aussi : antiagregants plaquettaires - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Diminution de l'effet uricosurique par competition de l'elimination de l'acide urique au niveau des tubules renaux.				
ACIDE ACETYLSALICYLIQUE	THROMBOLYTIQUES	A prendre en compte Augmentation du risque hemorragique.	Voir aussi : antiagregants plaquettaires - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Augmentation du risque hemorragique.				
ACIDE ACETYLSALICYLIQUE	TICAGRELOR	ASDEC - PE Association deconseillee : - en dehors des indications validees pour cette association dans les syndromes coronariens aigus. 	Voir aussi : antiagregants plaquettaires - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	 : - dans les indications validees pour cette association dans les syndromes coronariens aigus. Surveillance clinique. Majoration du risque hemorragique par addition des activites antiagregantes plaquettaires.		ASDEC - PE Association deconseillee : - en dehors des indications validees pour cette association dans les syndromes coronariens aigus. 	ASDEC - PE Association deconseillee : - en dehors des indications validees pour cette association dans les syndromes coronariens aigus. 	
ACIDE ACETYLSALICYLIQUE	TICLOPIDINE	Association DECONSEILLEE Si l'association ne peut etre evitee, surveillance clinique etroite. 	Voir aussi : antiagregants plaquettaires - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Majoration du risque hemorragique par addition des activites antiagregantes plaquettaires.		 Si l'association ne peut etre evitee, surveillance clinique etroite. 		
ACIDE ASCORBIQUE	DEFEROXAMINE	Precaution d'emploi En cas d'hemochromatose, ne donner de la vitamine C qu'apres avoir commence le traitement par la deferoxamine. Surveiller la fonction cardiaque en cas d'association. 		Avec l'acide ascorbique a fortes doses et par voie IV : anomalies de la fonction cardiaque, voire insuffisance cardiaque aigue (en general reversible a l'arret de la vitamine C).			 En cas d'hemochromatose, ne donner de la vitamine C qu'apres avoir commence le traitement par la deferoxamine. Surveiller la fonction cardiaque en cas d'association. 	
ACIDE CHOLIQUE	PHENOBARBITAL (ET, PAR EXTRAPOLATION, PRIMIDONE)	CONTRE-INDICATION 		Effet antagoniste du barbiturique.	 			
ACIDE CLODRONIQUE	ESTRAMUSTINE	Precaution d'emploi Surveillance clinique au cours de l'association. 	Voir aussi : bisphosphonates - medicaments nephrotoxiques - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Risque d'augmentation des concentrations plasmatiques d'estramustine par le clodronate.			 Surveillance clinique au cours de l'association. 	
ACIDE FOLINIQUE	FLUOROURACILE (ET, PAR EXTRAPOLATION, AUTRES FLUOROPYRIMIDINES)	A prendre en compte Potentialisation des effets, a la fois cytostatiques et indesirables, du 	Voir aussi : folates	Potentialisation des effets, a la fois cytostatiques et indesirables, du fluoro-uracile.				
ACIDE FUSIDIQUE	INHIBITEURS DE L'HMG-COA REDUCTASE (STATINES)	CONTRE-INDICATION Arreter le traitement par l'inhibiteur de l'HMG Co-A reductase avant d'initier un traitement par acide fusidique ou utiliser un autre antibiotique. 		Risque majore d'effets indesirables (concentration-dependants) a type de rhabdomyolyse.	 Arreter le traitement par l'inhibiteur de l'HMG Co-A reductase avant d'initier un traitement par acide fusidique ou utiliser un autre antibiotique. 			
ACIDE FUSIDIQUE	OMBITASVIR + PARITAPREVIR	CONTRE-INDICATION Augmentation des concentrations plasmatiques de l'acide fusidique 		Augmentation des concentrations plasmatiques de l'acide fusidique par diminution de son metabolisme hepatique par la bitherapie. Thesaurus des interactions medicamenteuses				
ACIDE NICOTINIQUE	ALCOOL (BOISSON OU EXCIPIENT)	A prendre en compte Risque de prurit, de rougeur et de chaleur, lie a une potentialisation de l'effet vasodilatateur.		Risque de prurit, de rougeur et de chaleur, lie a une potentialisation de l'effet vasodilatateur.				
ACIDE URSODESOXYCHOLIQUE	CICLOSPORINE	A prendre en compte Risque de variation des concentrations sanguines de ciclosporine.		Risque de variation des concentrations sanguines de ciclosporine.				
ACITRETINE	ALCOOL (BOISSON OU EXCIPIENT)	CONTRE-INDICATION Chez la femme en age de procreer, risque de transformation de 	Voir aussi : retinoides	Chez la femme en age de procreer, risque de transformation de l'acitretine en etretinate, puissant teratogene dont la demi-vie tres prolongee (120 jours) expose a un risque teratogene majeur en cas de grossesse, pendant le traitement et les 2 mois suivant son arret.				
ACITRETINE	METHOTREXATE	Association DECONSEILLEE Si l'association est jugee necessaire, renforcer la surveillance du bilan hepatique. 	Voir aussi : retinoides	Risque de majoration de l'hepatotoxicite du methotrexate.		 Si l'association est jugee necessaire, renforcer la surveillance du bilan hepatique. 		
ADRENALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANEE)	ANESTHESIQUES VOLATILS HALOGENES	Precaution d'emploi Limiter l'apport, par exemple : moins de 0,1 mg d'adrenaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte. 	(adrenaline	Troubles du rythme ventriculaire graves par augmentation de l'excitabilite cardiaque.			 Limiter l'apport, par exemple : moins de 0,1 mg d'adrenaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte. 	
ADRENALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANEE)	ANTIDEPRESSEURS IMIPRAMINIQUES	Precaution d'emploi Limiter l'apport, par exemple : moins de 0,1 mg d'adrenaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte. 	(adrenaline	Troubles du rythme ventriculaire graves par augmentation de l'excitabilite cardiaque.			 Limiter l'apport, par exemple : moins de 0,1 mg d'adrenaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte. 	
ADRENALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANEE)	IMAO IRREVERSIBLES	Precaution d'emploi Limiter l'apport, par exemple : moins de 0,1 mg d'adrenaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte. 	(adrenaline	Troubles du rythme ventriculaire graves par augmentation de l'excitabilite cardiaque.			 Limiter l'apport, par exemple : moins de 0,1 mg d'adrenaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte. 	
ADRENALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANEE)	MEDICAMENTS MIXTES ADRENERGIQUES-SEROTONINERGIQUES	Precaution d'emploi Limiter l'apport, par exemple : moins de 0,1 mg d'adrenaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte. 	(adrenaline	Troubles du rythme ventriculaire graves par augmentation de l'excitabilite cardiaque.			 Limiter l'apport, par exemple : moins de 0,1 mg d'adrenaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte. 	
AFATINIB	AMIODARONE	Precaution d'emploi Il est recommande d'administrer l'amiodarone le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. 		Augmentation des concentrations plasmatiques d'afatinib par augmentation de son absorption par l'amiodarone.			 Il est recommande d'administrer l'amiodarone le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. 	
AFATINIB	ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES	Precaution d'emploi Surveillance clinique pendant l'association et 1 a 2 semaines apres leur arret. 		Diminution des concentrations plasmatiques de l'afatinib par augmentation de son metabolisme par ces substances.			 Surveillance clinique pendant l'association et 1 a 2 semaines apres leur arret. 	
AFATINIB	CICLOSPORINE	Precaution d'emploi Il est recommande d'administrer la ciclosporine le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. 		Augmentation des concentrations plasmatique d'afatinib par augmentation de son absorption par la ciclosporine.			 Il est recommande d'administrer la ciclosporine le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. 	
AFATINIB	ERYTHROMYCINE	Precaution d'emploi Il est recommande d'administrer l'erythromycine le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. 		Augmentation des concentrations plasmatique d'afatinib par augmentation de son absorption par l'erythromycine. Thesaurus des interactions medicamenteuses			 Il est recommande d'administrer l'erythromycine le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. 	
AFATINIB	INHIBITEURS DE PROTEASES BOOSTES PAR RITONAVIR	Precaution d'emploi Il est recommande d'administrer l'inhibiteur de proteases le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. 		Augmentation des concentrations plasmatique d'afatinib par augmentation de son absorption par l'inhibiteur de proteases.			 Il est recommande d'administrer l'inhibiteur de proteases le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. 	
AFATINIB	ITRACONAZOLE	Precaution d'emploi Il est recommande d'administrer l'itraconazole le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. 		Augmentation des concentrations plasmatique d'afatinib par augmentation de son absorption par l'itraconazole.			 Il est recommande d'administrer l'itraconazole le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. 	
