"molecule"	"famille"
"acide niflumique"	"anti-inflammatoires non stéroïdiens"
"acide niflumique"	"hyperkaliémiants"
"acide oxidronique"	"bisphosphonates"
"acide pamidronique"	"bisphosphonates"
"acide risedronique"	"bisphosphonates"
"acide tiaprofenique"	"anti-inflammatoires non stéroïdiens"
"acide tiaprofenique"	"hyperkaliémiants"
"acide tiludronique"	"bisphosphonates"
"acide ursodesoxycholique"	"acides biliaires"
"acide valproique"	"anticonvulsivants métabolisés"
"acide valproique"	"valproïque (acide) et, par extrapolation, valpromide"
"acide zoledronique"	"bisphosphonates"
"acitretine"	"rétinoïdes"
"adefovir"	"médicaments néphrotoxiques"
"adrenaline"	"adrénaline (voie bucco-dentaire ou sous-cutanée)"
"adrenaline"	"sympathomimétiques alpha et bêta (voie IM et IV)"
"agomelatine"	"médicaments sédatifs"
"albendazole"	"Interactions en propre seulement"
"alcuronium"	"curares"
"alcuronium"	"curares non dépolarisants"
"aldesleukine"	"Interactions en propre seulement"
"alfacalcidol"	"vitamine D"
"alfentanil"	"analgésiques morphiniques agonistes"
"alfentanil"	"analgésiques morphiniques de palier III"
"alfentanil"	"morphiniques"
"alfentanil"	"médicaments sédatifs"
"alfentanil"	"substrats à risque du CYP3A4"
"alfuzosine"	"autres médicaments à l'origine d'une hypotension orthostatique"
"alfuzosine"	"alphabloquants à visée urologique"
"alfuzosine"	"médicaments abaissant la pression artérielle"
"alfuzosine"	"médicaments à l'origine d'une hypotension orthostatique"
"alimemazine"	"autres médicaments à l'origine d'une hypotension orthostatique"
"alimemazine"	"hypnotiques"
"alimemazine"	"médicaments abaissant la pression artérielle"
"alimemazine"	"médicaments abaissant le seuil épileptogène"
"alimemazine"	"médicaments atropiniques"
"alimemazine"	"médicaments sédatifs"
"alimemazine"	"médicaments à l'origine d'une hypotension orthostatique"
"alimemazine"	"neuroleptiques"
"aliskiren"	"antihypertenseurs"
"aliskiren"	"antihypertenseurs sauf alpha-bloquants"
"aliskiren"	"médicaments abaissant la pression artérielle"
"alitretinoine"	"rétinoïdes"
"alizapride"	"médicaments abaissant la pression artérielle"
"alizapride"	"médicaments sédatifs"
"alizapride"	"neuroleptiques"
"alizapride"	"neuroleptiques antiémétiques"
"allobarbital"	"barbituriques"
"allobarbital"	"médicaments sédatifs"
"allopurinol"	"inhibiteurs de la xanthine oxydase"
"alminoprofene"	"anti-inflammatoires non stéroïdiens"
"alminoprofene"	"hyperkaliémiants"
"almotriptan"	"triptans"
"almotriptan"	"triptans métabolisés par la MAO"
"alpha-pinene"	"médicaments abaissant le seuil épileptogène"
"alpha-tocopherol"	"Interactions en propre seulement"
"alprazolam"	"benzodiazépines et apparentés"
"alprazolam"	"médicaments sédatifs"
"alteplase recombinante"	"thrombolytiques"
"altizide"	"antihypertenseurs"
"altizide"	"antihypertenseurs sauf alpha-bloquants"
"altizide"	"diurétiques"
"altizide"	"diurétiques hypokaliémiants"
"altizide"	"diurétiques thiazidiques et apparentés"
"altizide"	"hypokaliémiants"
"altizide"	"hyponatrémiants"
"altizide"	"médicaments abaissant la pression artérielle"
"altretamine"	"cytotoxiques"
"amantadine"	"antiparkinsoniens dopaminergiques"
"amantadine"	"dopaminergiques"
"amantadine"	"médicaments sédatifs"
"amantadine"	"médicaments à l'origine d'une hypotension orthostatique"
"ambenonium"	"anticholinestérasiques"
"ambenonium"	"bradycardisants"
"ambrisentan"	"Interactions en propre seulement"
"amifostine"	"médicaments abaissant la pression artérielle"
"amikacine"	"aminosides"
"amikacine"	"médicaments néphrotoxiques"
"amikacine"	"médicaments ototoxiques"
"amiloride"	"antihypertenseurs"
"amiloride"	"antihypertenseurs sauf alpha-bloquants"
"amiloride"	"diurétiques"
"amiloride"	"diurétiques épargneurs de potassium (seuls ou associés)"
"amiloride"	"hyperkaliémiants"
"amiloride"	"hyponatrémiants"
"amiloride"	"médicaments abaissant la pression artérielle"
"aminoglutethimide"	"Interactions en propre seulement"
"aminophylline"	"théophylline (et, par extrapolation, aminophylline)"
"amiodarone"	"antiarythmiques"
"amiodarone"	"bradycardisants"
"amiodarone"	"médicaments susceptibles de donner des torsades de pointes"
"amiodarone"	"torsadogènes (sauf antiparasitaires, neuroleptiques, méthadone)"
"amisulpride"	"médicaments abaissant la pression artérielle"
"amisulpride"	"médicaments susceptibles de donner des torsades de pointes"
"amisulpride"	"médicaments sédatifs"
"amisulpride"	"neuroleptiques"
"amisulpride"	"neuroleptiques antipsychotiques (sauf clozapine)"
"amisulpride"	"neuroleptiques susceptibles de donner des torsades de pointes"
"amitriptyline"	"autres médicaments à l'origine d'une hypotension orthostatique"
"amitriptyline"	"antidépresseurs imipraminiques"
"amitriptyline"	"médicaments abaissant la pression artérielle"
"amitriptyline"	"médicaments abaissant le seuil épileptogène"
"amitriptyline"	"médicaments atropiniques"
"amitriptyline"	"médicaments mixtes adrénergiques-sérotoninergiques"
"amitriptyline"	"médicaments sédatifs"
"amitriptyline"	"médicaments à l'origine d'un syndrome sérotoninergique"
"amitriptyline"	"médicaments à l'origine d'une hypotension orthostatique"
"amlodipine"	"autres médicaments à l'origine d'une hypotension orthostatique"
"amlodipine"	"antagonistes des canaux calciques"
"amlodipine"	"antihypertenseurs"
"amlodipine"	"antihypertenseurs sauf alpha-bloquants"
"amlodipine"	"dihydropyridines"
"amlodipine"	"médicaments abaissant la pression artérielle"
"amobarbital"	"barbituriques"
"amobarbital"	"médicaments sédatifs"
"amoxapine"	"autres médicaments à l'origine d'une hypotension orthostatique"
"amoxapine"	"antidépresseurs imipraminiques"
"amoxapine"	"médicaments abaissant la pression artérielle"
"amoxapine"	"médicaments abaissant le seuil épileptogène"
"amoxapine"	"médicaments atropiniques"
"amoxapine"	"médicaments à l'origine d'une hypotension orthostatique"
"amoxicilline"	"pénicillines"
"amoxicilline"	"pénicillines A"
"amphotericine b"	"hypokaliémiants"
"amphotericine b"	"médicaments néphrotoxiques"
"ampicilline"	"pénicillines"
"ampicilline"	"pénicillines A"
"amprenavir"	"amprénavir (et, par extrapolation, fosamprénavir)"
"amprenavir"	"inhibiteurs de protéases boostés par ritonavir"
"amsacrine"	"cytotoxiques"
"anagrelide"	"Interactions en propre seulement"
"anakinra"	"Interactions en propre seulement"
"androstanolone"	"androgènes"
"apixaban"	"anticoagulants oraux"
"apomorphine"	"antiparkinsoniens dopaminergiques"
"apomorphine"	"dopaminergiques"
"apomorphine"	"médicaments sédatifs"
"apomorphine"	"médicaments à l'origine d'une hypotension orthostatique"
"aprepitant"	"Interactions en propre seulement"
"argatroban"	"anticoagulants oraux"
"aripiprazole"	"médicaments abaissant la pression artérielle"
"aripiprazole"	"médicaments sédatifs"
"aripiprazole"	"neuroleptiques"
"aripiprazole"	"neuroleptiques antipsychotiques (sauf clozapine)"
"arsenieux"	"médicaments susceptibles de donner des torsades de pointes"
"arsenieux"	"torsadogènes (sauf antiparasitaires, neuroleptiques, méthadone)"
"asenapine"	"médicaments abaissant la pression artérielle"
"asenapine"	"neuroleptiques"
"asenapine"	"neuroleptiques antipsychotiques (sauf clozapine)"
"asparaginase"	"cytotoxiques"
"atazanavir"	"inhibiteurs de protéases boostés par ritonavir"
"atenolol"	"antihypertenseurs"
"atenolol"	"antihypertenseurs sauf alpha-bloquants"
"atenolol"	"bradycardisants"
"atenolol"	"bêta-bloquants (sauf esmolol et sotalol)"
"atenolol"	"bêta-bloquants (sauf esmolol)"
"atenolol"	"médicaments abaissant la pression artérielle"
"atomoxetine"	"médicaments mixtes adrénergiques-sérotoninergiques"
"atomoxetine"	"médicaments à l'origine d'un syndrome sérotoninergique"
"atorvastatine"	"inhibiteurs de l'HMG-CoA réductase (statines)"
"atorvastatine"	"substrats à risque du CYP3A4"
"atovaquone"	"Interactions en propre seulement"
"atracurium"	"curares"
"atracurium"	"curares non dépolarisants"
"atropine"	"médicaments atropiniques"
"avizafone"	"benzodiazépines et apparentés"
"avizafone"	"médicaments sédatifs"
"axitinib"	"inhibiteurs des tyrosine kinases"
"azatadine"	"médicaments atropiniques"
"azatadine"	"médicaments sédatifs"
"azathioprine"	"cytotoxiques"
"azelastine"	"médicaments atropiniques"
"azelastine"	"médicaments sédatifs"
"azilsartan"	"antagonistes des récepteurs de l'angiotensine II"
"azilsartan"	"antihypertenseurs"
"azilsartan"	"antihypertenseurs sauf alpha-bloquants"
"azilsartan"	"hyperkaliémiants"
"azilsartan"	"médicaments abaissant la pression artérielle"
"azithromycine"	"macrolides (sauf spiramycine)"
"aztreonam"	"Interactions en propre seulement"
"bacampicilline"	"pénicillines"
"bacampicilline"	"pénicillines A"
"baclofene"	"médicaments abaissant la pression artérielle"
"baclofene"	"médicaments sédatifs"
"bambuterol"	"bêta-2 mimétiques"
"barbital"	"barbituriques"
"barbital"	"médicaments sédatifs"
"barnidipine"	"autres médicaments à l'origine d'une hypotension orthostatique"
"barnidipine"	"antagonistes des canaux calciques"
"barnidipine"	"antihypertenseurs"
"barnidipine"	"antihypertenseurs sauf alpha-bloquants"
"barnidipine"	"dihydropyridines"
"barnidipine"	"médicaments abaissant la pression artérielle"
"bcg"	"vaccins vivants atténués"
"bcg"	"vaccins vivants atténués (sauf antiamarile)"
"befunolol"	"antihypertenseurs"
"befunolol"	"antihypertenseurs sauf alpha-bloquants"
"befunolol"	"bradycardisants"
"befunolol"	"bêta-bloquants (sauf esmolol et sotalol)"
"befunolol"	"bêta-bloquants (sauf esmolol)"
"befunolol"	"médicaments abaissant la pression artérielle"
"benazepril"	"antihypertenseurs"
"benazepril"	"antihypertenseurs sauf alpha-bloquants"
"benazepril"	"hyperkaliémiants"
"benazepril"	"inhibiteurs de l'enzyme de conversion"
"benazepril"	"médicaments abaissant la pression artérielle"
"bendroflumethiazide"	"antihypertenseurs"
"bendroflumethiazide"	"antihypertenseurs sauf alpha-bloquants"
"bendroflumethiazide"	"diurétiques"
"bendroflumethiazide"	"diurétiques hypokaliémiants"
"bendroflumethiazide"	"diurétiques thiazidiques et apparentés"
"bendroflumethiazide"	"hypokaliémiants"
"bendroflumethiazide"	"hyponatrémiants"
"bendroflumethiazide"	"médicaments abaissant la pression artérielle"
"benethamine-penicilline"	"pénicillines"
"benzalkonium"	"spermicides"
"benzbromarone"	"uricosuriques"
"benzylpenicilline"	"pénicillines"
"bepridil"	"antagonistes des canaux calciques"
"bepridil"	"antiarythmiques"
"bepridil"	"antihypertenseurs"
"bepridil"	"antihypertenseurs sauf alpha-bloquants"
"bepridil"	"bradycardisants"
"bepridil"	"médicaments abaissant la pression artérielle"
"bepridil"	"médicaments susceptibles de donner des torsades de pointes"
"bepridil"	"torsadogènes (sauf antiparasitaires, neuroleptiques, méthadone)"
"betamethasone"	"glucocorticoïdes (sauf hydrocortisone en traitement substitutif)"
"betamethasone"	"hypokaliémiants"
"beta-pinene"	"médicaments abaissant le seuil épileptogène"
"betaxolol"	"antihypertenseurs"
"betaxolol"	"antihypertenseurs sauf alpha-bloquants"
"betaxolol"	"bradycardisants"
"betaxolol"	"bêta-bloquants (sauf esmolol et sotalol)"
"betaxolol"	"bêta-bloquants (sauf esmolol)"
"betaxolol"	"médicaments abaissant la pression artérielle"
"bezafibrate"	"fibrates"
"biperidene"	"antiparkinsoniens anticholinergiques"
"biperidene"	"médicaments atropiniques"
"bisacodyl"	"hypokaliémiants"
"bisoprolol"	"antihypertenseurs"
"bisoprolol"	"antihypertenseurs sauf alpha-bloquants"
"bisoprolol"	"bradycardisants"
"bisoprolol"	"bêta-bloquants (sauf esmolol et sotalol)"
"bisoprolol"	"bêta-bloquants (sauf esmolol)"
"bisoprolol"	"bêta-bloquants dans l'insuffisance cardiaque"
"bisoprolol"	"médicaments abaissant la pression artérielle"
"bleomycine"	"cytotoxiques"
"bleu de methylene"	"IMAO-A sélectifs, y compris linezolide et bleu de méthylène"
"bleu de methylene"	"médicaments à l'origine d'un syndrome sérotoninergique"
"boceprevir"	"inhibiteurs puissants du CYP3A4"
"boldo"	"hypokaliémiants"
"bortezomib"	"substrats à risque du CYP3A4"
"bosentan"	"Interactions en propre seulement"
"botulique (toxine)"	"Interactions en propre seulement"
"bourdaine"	"hypokaliémiants"
"bromazepam"	"benzodiazépines et apparentés"
"bromazepam"	"médicaments sédatifs"
"bromocriptine"	"alcaloïdes de l'ergot de seigle dopaminergiques"
"bromocriptine"	"antiparkinsoniens dopaminergiques"
"bromocriptine"	"dopaminergiques"
"bromocriptine"	"médicaments sédatifs"
"bromocriptine"	"médicaments à l'origine d'une hypotension orthostatique"
"brompheniramine"	"médicaments atropiniques"
"brompheniramine"	"médicaments sédatifs"
"brotizolam"	"benzodiazépines et apparentés"
"brotizolam"	"médicaments sédatifs"
"buclizine"	"médicaments atropiniques"
"buclizine"	"médicaments sédatifs"
"budesonide"	"autres corticoïdes, notamment inhalés"
"budesonide"	"glucocorticoïdes (sauf hydrocortisone en traitement substitutif)"
"bumetanide"	"antihypertenseurs"
"bumetanide"	"antihypertenseurs sauf alpha-bloquants"
"bumetanide"	"diurétiques"
"bumetanide"	"diurétiques de l'anse"
"bumetanide"	"diurétiques hypokaliémiants"
"bumetanide"	"hypokaliémiants"
"bumetanide"	"hyponatrémiants"
"bumetanide"	"médicaments abaissant la pression artérielle"
"bumetanide"	"médicaments ototoxiques"
"buprenorphine"	"morphiniques"
"buprenorphine"	"morphiniques agonistes-antagonistes"
"buprenorphine"	"morphiniques en traitement de substitution"
"buprenorphine"	"médicaments sédatifs"
"bupropione"	"médicaments abaissant le seuil épileptogène"
"bupropione"	"sympathomimétiques indirects"
"buspirone"	"Interactions en propre seulement"
"busulfan"	"cytotoxiques"
"butalbital"	"barbituriques"
"butalbital"	"médicaments sédatifs"
"butobarbital"	"barbituriques"
"butobarbital"	"médicaments sédatifs"
"cabazitaxel"	"cytotoxiques"
"cabergoline"	"alcaloïdes de l'ergot de seigle dopaminergiques"
"cabergoline"	"dopaminergiques"
"cabergoline"	"dopaminergiques, hors Parkinson"
"cabergoline"	"médicaments sédatifs"
"cafedrine"	"sympathomimétiques indirects"
"cafeine"	"Interactions en propre seulement"
"cajeput"	"médicaments abaissant le seuil épileptogène"
"calcitonine"	"Interactions en propre seulement"
"calcitriol"	"vitamine D"
"calcium"	"Interactions en propre seulement"
"camazepam"	"benzodiazépines et apparentés"
"camazepam"	"médicaments sédatifs"
"camphre"	"médicaments abaissant le seuil épileptogène"
"candesartan cilexetil"	"antagonistes des récepteurs de l'angiotensine II"
"candesartan cilexetil"	"antihypertenseurs"
"candesartan cilexetil"	"antihypertenseurs sauf alpha-bloquants"
"candesartan cilexetil"	"hyperkaliémiants"
"candesartan cilexetil"	"médicaments abaissant la pression artérielle"
"canrenoate de potassium"	"antihypertenseurs"
"canrenoate de potassium"	"antihypertenseurs sauf alpha-bloquants"
"canrenoate de potassium"	"diurétiques"
"canrenoate de potassium"	"diurétiques épargneurs de potassium (seuls ou associés)"
"canrenoate de potassium"	"hyperkaliémiants"
"canrenoate de potassium"	"hyponatrémiants"
"canrenoate de potassium"	"médicaments abaissant la pression artérielle"
"capecitabine"	"cytotoxiques"
"capecitabine"	"fluorouracile (et, par extrapolation, tegafur et capécitabine)"
"captodiame"	"médicaments sédatifs"
"captopril"	"antihypertenseurs"
"captopril"	"antihypertenseurs sauf alpha-bloquants"
"captopril"	"hyperkaliémiants"
"captopril"	"inhibiteurs de l'enzyme de conversion"
"captopril"	"médicaments abaissant la pression artérielle"
"carbamazepine"	"anticonvulsivants inducteurs enzymatiques"
"carbamazepine"	"hyponatrémiants"
"carbamazepine"	"inducteurs enzymatiques"
"carbinoxamine"	"médicaments sédatifs"
"carboplatine"	"cytotoxiques"
"carboplatine"	"médicaments néphrotoxiques"
"carboplatine"	"médicaments ototoxiques"
"carboplatine"	"organoplatines"
"carbutamide"	"sulfamides hypoglycémiants"
"carmustine"	"cytotoxiques"
"carpipramine"	"médicaments abaissant la pression artérielle"
"carpipramine"	"neuroleptiques"
"carpipramine"	"neuroleptiques antipsychotiques (sauf clozapine)"
"carteolol"	"antihypertenseurs"
"carteolol"	"antihypertenseurs sauf alpha-bloquants"
"carteolol"	"bradycardisants"
"carteolol"	"bêta-bloquants (sauf esmolol et sotalol)"
"carteolol"	"bêta-bloquants (sauf esmolol)"
"carteolol"	"médicaments abaissant la pression artérielle"
"carvedilol"	"bradycardisants"
"carvedilol"	"bêta-bloquants dans l'insuffisance cardiaque"
"carvedilol"	"médicaments abaissant la pression artérielle"
"cascara"	"hypokaliémiants"
"cascara sagrada"	"hypokaliémiants"
"catioresine sulfo sodique"	"résines chélatrices"
"cefalotine"	"Interactions en propre seulement"
"cefamandole"	"antabuse (réaction)"
"cefoperazone"	"Interactions en propre seulement"
"cefotetan"	"Interactions en propre seulement"
"ceftriaxone"	"Interactions en propre seulement"
"celecoxib"	"anti-inflammatoires non stéroïdiens"
"celecoxib"	"hyperkaliémiants"
"celiprolol"	"antihypertenseurs"
"celiprolol"	"antihypertenseurs sauf alpha-bloquants"
"celiprolol"	"bradycardisants"
"celiprolol"	"bêta-bloquants (sauf esmolol et sotalol)"
"celiprolol"	"bêta-bloquants (sauf esmolol)"
"celiprolol"	"médicaments abaissant la pression artérielle"
"cetalkonium"	"spermicides"
"charbon active"	"topiques gastro-intestinaux, antiacides et adsorbants"
"charbon vegetal officinal"	"topiques gastro-intestinaux, antiacides et adsorbants"
"chlorambucil"	"cytotoxiques"
"chlordiazepoxide"	"benzodiazépines et apparentés"
"chlordiazepoxide"	"médicaments sédatifs"
"chlormadinone"	"progestatifs non contraceptifs, associés ou non à un estrogène"
"chlormethine"	"cytotoxiques"
"chloroquine"	"médicaments abaissant le seuil épileptogène"
"chlorphenamine"	"médicaments atropiniques"
"chlorphenamine"	"médicaments sédatifs"
"chlorphenoxamine"	"médicaments sédatifs"
"chlorproethazine"	"autres médicaments à l'origine d'une hypotension orthostatique"
"chlorproethazine"	"médicaments abaissant la pression artérielle"
"chlorproethazine"	"médicaments abaissant le seuil épileptogène"
"chlorproethazine"	"médicaments atropiniques"
"chlorproethazine"	"médicaments sédatifs"
"chlorproethazine"	"médicaments à l'origine d'une hypotension orthostatique"
"chlorproethazine"	"neuroleptiques"
"chlorpromazine"	"autres médicaments à l'origine d'une hypotension orthostatique"
"chlorpromazine"	"médicaments abaissant la pression artérielle"
"chlorpromazine"	"médicaments abaissant le seuil épileptogène"
"chlorpromazine"	"médicaments atropiniques"
"chlorpromazine"	"médicaments susceptibles de donner des torsades de pointes"
"chlorpromazine"	"médicaments sédatifs"
"chlorpromazine"	"médicaments à l'origine d'une hypotension orthostatique"
"chlorpromazine"	"neuroleptiques"
"chlorpromazine"	"neuroleptiques antipsychotiques (sauf clozapine)"
"chlorpromazine"	"neuroleptiques susceptibles de donner des torsades de pointes"
"chlorpropamide"	"sulfamides hypoglycémiants"
"chlortalidone"	"antihypertenseurs"
"chlortalidone"	"antihypertenseurs sauf alpha-bloquants"
"chlortalidone"	"diurétiques"
"chlortalidone"	"diurétiques hypokaliémiants"
"chlortalidone"	"diurétiques thiazidiques et apparentés"
"chlortalidone"	"hypokaliémiants"
"chlortalidone"	"hyponatrémiants"
"chlortalidone"	"médicaments abaissant la pression artérielle"
"chlortetracycline"	"cyclines"
"cholecalciferol"	"vitamine D"
"cibenzoline"	"antiarythmiques"
"cibenzoline"	"antiarythmiques classe I (sauf lidocaïne)"
"cicletanine"	"antihypertenseurs"
"cicletanine"	"antihypertenseurs sauf alpha-bloquants"
"cicletanine"	"diurétiques"
"cicletanine"	"diurétiques hypokaliémiants"
"cicletanine"	"diurétiques thiazidiques et apparentés"
"cicletanine"	"hypokaliémiants"
"cicletanine"	"hyponatrémiants"
"cicletanine"	"médicaments abaissant la pression artérielle"
"ciclosporine"	"hyperkaliémiants"
"ciclosporine"	"immunosuppresseurs"
"ciclosporine"	"médicaments néphrotoxiques"
"ciclosporine"	"substrats à risque du CYP3A4"
"cidofovir"	"médicaments néphrotoxiques"
"cilazapril"	"antihypertenseurs"
"cilazapril"	"antihypertenseurs sauf alpha-bloquants"
"cilazapril"	"hyperkaliémiants"
"cilazapril"	"inhibiteurs de l'enzyme de conversion"
"cilazapril"	"médicaments abaissant la pression artérielle"
"cilostazol"	"antiagrégants plaquettaires"
"cimetidine"	"antisécrétoires antihistaminiques H2"
"cinacalcet"	"Interactions en propre seulement"
"cineole"	"médicaments abaissant le seuil épileptogène"
"ciprofibrate"	"fibrates"
"ciprofloxacine"	"fluoroquinolones"
"cisapride"	"médicaments susceptibles de donner des torsades de pointes"
"cisapride"	"substrats à risque du CYP3A4"
"cisapride"	"torsadogènes (sauf antiparasitaires, neuroleptiques, méthadone)"
"cisatracurium"	"curares"
"cisatracurium"	"curares non dépolarisants"
"cisplatine"	"cytotoxiques"
"cisplatine"	"médicaments néphrotoxiques"
"cisplatine"	"médicaments ototoxiques"
"cisplatine"	"organoplatines"
"citalopram"	"hyponatrémiants"
"citalopram"	"inhibiteurs sélectifs de la recapture de la sérotonine"
"citalopram"	"médicaments abaissant le seuil épileptogène"
"citalopram"	"médicaments susceptibles de donner des torsades de pointes"
"citalopram"	"médicaments à l'origine d'un syndrome sérotoninergique"
"citalopram"	"torsadogènes (sauf antiparasitaires, neuroleptiques, méthadone)"
"citrate de gallium [67ga]"	"citrates"
"cladribine"	"cytotoxiques"
"clarithromycine"	"inhibiteurs puissants du CYP3A4"
"clarithromycine"	"macrolides (sauf spiramycine)"
"clévidipine"	"autres médicaments à l'origine d'une hypotension orthostatique"
"clévidipine"	"antagonistes des canaux calciques"
"clévidipine"	"antihypertenseurs"
"clévidipine"	"antihypertenseurs sauf alpha-bloquants"
"clévidipine"	"dihydropyridines"
"clévidipine"	"médicaments abaissant la pression artérielle"
"clidinium"	"médicaments atropiniques"
"clindamycine"	"lincosanides"
"clobazam"	"benzodiazépines et apparentés"
"clobazam"	"médicaments sédatifs"
"clocinizine"	"médicaments sédatifs"
"clofibrate"	"fibrates"
"clomipramine"	"autres médicaments à l'origine d'une hypotension orthostatique"
"clomipramine"	"antidépresseurs imipraminiques"
"clomipramine"	"médicaments abaissant la pression artérielle"
"clomipramine"	"médicaments abaissant le seuil épileptogène"
"clomipramine"	"médicaments atropiniques"
"clomipramine"	"médicaments mixtes adrénergiques-sérotoninergiques"
"clomipramine"	"médicaments à l'origine d'un syndrome sérotoninergique"
"clomipramine"	"médicaments à l'origine d'une hypotension orthostatique"
"clonazepam"	"benzodiazépines et apparentés"
"clonazepam"	"médicaments sédatifs"
"clonidine"	"antihypertenseurs"
"clonidine"	"antihypertenseurs centraux"
"clonidine"	"antihypertenseurs sauf alpha-bloquants"
"clonidine"	"bradycardisants"
"clonidine"	"médicaments abaissant la pression artérielle"
"clonidine"	"médicaments sédatifs"
"clopamide"	"antihypertenseurs"
"clopamide"	"antihypertenseurs sauf alpha-bloquants"
"clopamide"	"diurétiques"
"clopamide"	"diurétiques hypokaliémiants"
"clopamide"	"diurétiques thiazidiques et apparentés"
"clopamide"	"hypokaliémiants"
"clopamide"	"hyponatrémiants"
"clopamide"	"médicaments abaissant la pression artérielle"
"clopidogrel"	"antiagrégants plaquettaires"
"clorazepate"	"benzodiazépines et apparentés"
"clorazepate"	"médicaments sédatifs"
"clotiazepam"	"benzodiazépines et apparentés"
"clotiazepam"	"médicaments sédatifs"
"cloxacilline"	"pénicillines"
"cloxazolam"	"benzodiazépines et apparentés"
"cloxazolam"	"médicaments sédatifs"
"clozapine"	"médicaments abaissant la pression artérielle"
"clozapine"	"médicaments atropiniques"
"clozapine"	"médicaments sédatifs"
"clozapine"	"médicaments à risque lors du sevrage tabagique"
"clozapine"	"neuroleptiques"
"codeine"	"analgésiques morphiniques agonistes"
"codeine"	"analgésiques morphiniques de palier II"
"codeine"	"antitussifs morphiniques vrais"
"codeine"	"morphiniques"
"codeine"	"médicaments sédatifs"
"colchicine"	"Interactions en propre seulement"
"colesevelam"	"résines chélatrices"
"colestilan"	"résines chélatrices"
"colestyramine"	"résines chélatrices"
"colistine"	"médicaments néphrotoxiques"
"cortisone"	"glucocorticoïdes (sauf hydrocortisone en traitement substitutif)"
"cortisone"	"hypokaliémiants"
"cortivazol"	"glucocorticoïdes (sauf hydrocortisone en traitement substitutif)"
"cortivazol"	"hypokaliémiants"
"crizotinib"	"bradycardisants"
"crizotinib"	"inhibiteurs des tyrosine kinases"
"cyamemazine"	"autres médicaments à l'origine d'une hypotension orthostatique"
"cyamemazine"	"médicaments abaissant la pression artérielle"
"cyamemazine"	"médicaments abaissant le seuil épileptogène"
"cyamemazine"	"médicaments atropiniques"
"cyamemazine"	"médicaments susceptibles de donner des torsades de pointes"
"cyamemazine"	"médicaments sédatifs"
"cyamemazine"	"médicaments à l'origine d'une hypotension orthostatique"
"cyamemazine"	"neuroleptiques"
"cyamemazine"	"neuroleptiques antipsychotiques (sauf clozapine)"
"cyamemazine"	"neuroleptiques susceptibles de donner des torsades de pointes"
"cyanocobalamine"	"Interactions en propre seulement"
"cyclizine"	"médicaments sédatifs"
"cyclobarbital"	"barbituriques"
"cyclobarbital"	"médicaments sédatifs"
"cyclopentolate"	"médicaments atropiniques"
"cyclophosphamide"	"cytotoxiques"
"cyclothiazide"	"antihypertenseurs"
"cyclothiazide"	"antihypertenseurs sauf alpha-bloquants"
"cyclothiazide"	"diurétiques"
"cyclothiazide"	"diurétiques hypokaliémiants"
