"protagoniste1";"protagoniste2";"page";"CI";"AD";"PE";"PC";"couple"
"ACIDE ACETYLSALICYLIQUE";"ANTAGONISTES DES RECEPTEURS DE L'ANGIOTENSINE II";2;;;"Precaution d'emploi Hydrater le malade et surveiller la fonction renale en debut de traitement. Pour des doses anti-inflammatoires d'acide acetylsalicylique (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou antipyretiques (>= 500 mg par prise et/ou < 3g par jour) : Insuffisance renale aigue chez le malade deshydrate, par diminution de la filtration glomerulaire secondaire a une diminution de la synthese des prostaglandines renales. Par ailleurs, reduction de l'effet antihypertenseur.";;"ACIDE ACETYLSALICYLIQUE;ANTAGONISTES DES RECEPTEURS DE L'ANGIOTENSINE II"
"ACIDE ACETYLSALICYLIQUE";"ANTICOAGULANTS ORAUX";2;"CI - ASDEC - APEC Contre-indication avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) et en cas d'antecedent d'ulcere gastro-duodenal Association deconseillee avec : - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) en l'absence d'antecedent d'ulcere gastro-duodenal - des doses antiagregantes (de 50 mg a 375 mg par jour) et en cas d'antecedent d'ulcere gastro-duodenal. Necessite d'un controle le cas echeant, en particulier du temps de saignement. A prendre en compte avec : - des doses antiagregantes (de 50 mg a 375 mg par jour) Majoration du risque hemorragique, notamment en cas d'antecedent d'ulcere gastro-duodenal.";"CI - ASDEC - APEC Contre-indication avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) et en cas d'antecedent d'ulcere gastro-duodenal Association deconseillee avec : - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) en l'absence d'antecedent d'ulcere gastro-duodenal - des doses antiagregantes (de 50 mg a 375 mg par jour) et en cas d'antecedent d'ulcere gastro-duodenal. Necessite d'un controle le cas echeant, en particulier du temps de saignement. A prendre en compte avec : - des doses antiagregantes (de 50 mg a 375 mg par jour) Majoration du risque hemorragique, notamment en cas d'antecedent d'ulcere gastro-duodenal.";;"CI - ASDEC - APEC Contre-indication avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) et en cas d'antecedent d'ulcere gastro-duodenal Association deconseillee avec : - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) en l'absence d'antecedent d'ulcere gastro-duodenal - des doses antiagregantes (de 50 mg a 375 mg par jour) et en cas d'antecedent d'ulcere gastro-duodenal. Necessite d'un controle le cas echeant, en particulier du temps de saignement. A prendre en compte avec : - des doses antiagregantes (de 50 mg a 375 mg par jour) Majoration du risque hemorragique, notamment en cas d'antecedent d'ulcere gastro-duodenal.";"ACIDE ACETYLSALICYLIQUE;ANTICOAGULANTS ORAUX"
"ACIDE ACETYLSALICYLIQUE";"ANTI-INFLAMMATOIRES NON STEROIDIENS";2;;"ASDEC - APEC Association deconseillee avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) A prendre en compte avec : - des doses antiagregantes (de 50 mg a 375 mg par jour en 1 ou plusieurs prises) Majoration du risque ulcerogene et hemorragique digestif.";;"ASDEC - APEC Association deconseillee avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) A prendre en compte avec : - des doses antiagregantes (de 50 mg a 375 mg par jour en 1 ou plusieurs prises) Majoration du risque ulcerogene et hemorragique digestif.";"ACIDE ACETYLSALICYLIQUE;ANTI-INFLAMMATOIRES NON STEROIDIENS"
"ACIDE ACETYLSALICYLIQUE";"CLOPIDOGREL";2;;"ASDEC - PE Association deconseillee : - en dehors des indications validees pour cette association dans les syndromes coronariens aigus. Precaution d'emploi : - dans les indications validees pour cette association dans les syndromes coronariens aigus. Surveillance clinique. Majoration du risque hemorragique par addition des activites antiagregantes plaquettaires.";"ASDEC - PE Association deconseillee : - en dehors des indications validees pour cette association dans les syndromes coronariens aigus. Precaution d'emploi : - dans les indications validees pour cette association dans les syndromes coronariens aigus. Surveillance clinique. Majoration du risque hemorragique par addition des activites antiagregantes plaquettaires.";;"ACIDE ACETYLSALICYLIQUE;CLOPIDOGREL"
"ACIDE ACETYLSALICYLIQUE";"DEFERASIROX";2;;;;"A prendre en compte Avec l'acide acetylsalicylique a doses anti-inflammatoires (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou antipyretiques (>= 500 mg par prise et/ou < 3g par jour) : majoration du risque ulcerogene et hemorragique digestif.";"ACIDE ACETYLSALICYLIQUE;DEFERASIROX"
"ACIDE ACETYLSALICYLIQUE";"DIURETIQUES";3;;;"Precaution d'emploi Hydrater le malade et surveiller la fonction renale en debut de traitement. Pour des doses anti-inflammatoires d'acide acetylsalicylique (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou antipyretiques (>= 500 mg par prise et/ou < 3g par jour) : Insuffisance renale aigue chez le malade deshydrate, par diminution de la filtration glomerulaire secondaire a une diminution de la synthese des prostaglandines renales. Par ailleurs, reduction de l'effet antihypertenseur.  /226";;"ACIDE ACETYLSALICYLIQUE;DIURETIQUES"
"ACIDE ACETYLSALICYLIQUE";"GLUCOCORTICOIDES (SAUF HYDROCORTISONE)";3;;"ASDEC - APEC Association deconseillee avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) A prendre en compte avec : - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour). Majoration du risque hemorragique.";;"ASDEC - APEC Association deconseillee avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) A prendre en compte avec : - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour). Majoration du risque hemorragique.";"ACIDE ACETYLSALICYLIQUE;GLUCOCORTICOIDES (SAUF HYDROCORTISONE)"
"ACIDE ACETYLSALICYLIQUE";"HEPARINES DE BAS POIDS MOLECULAIRE ET APPARENTES (DOSES CURATIVES ET/OU SUJET AGE)";3;;"ASDEC - APEC Association deconseillee avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) Utiliser un autre anti-inflammatoire ou un autre antalgique ou antipyretique. A prendre en compte avec : - des doses antiagregantes (de 50 mg a 375 mg par jour). Augmentation du risque hemorragique (inhibition de la fonction plaquettaire et agression de la muqueuse gastroduodenale par l'acide acetylsalicylique.";;"ASDEC - APEC Association deconseillee avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) Utiliser un autre anti-inflammatoire ou un autre antalgique ou antipyretique. A prendre en compte avec : - des doses antiagregantes (de 50 mg a 375 mg par jour). Augmentation du risque hemorragique (inhibition de la fonction plaquettaire et agression de la muqueuse gastroduodenale par l'acide acetylsalicylique.";"ACIDE ACETYLSALICYLIQUE;HEPARINES DE BAS POIDS MOLECULAIRE ET APPARENTES (DOSES CURATIVES ET/OU SUJET AGE)"
"ACIDE ACETYLSALICYLIQUE";"HEPARINES DE BAS POIDS MOLECULAIRE ET APPARENTES (DOSES PREVENTIVES)";3;;;;"A prendre en compte L'utilisation conjointe de medicaments agissant a divers niveaux de l'hemostase majore le risque de saignement. Ainsi, chez le sujet de moins de 65 ans, l'association de l'heparine a doses preventives, ou de substances apparentees, a l'acide acetylsalicylique, quelle que soit la dose, doit etre prise en compte en maintenant une surveillance clinique et eventuellement biologique.";"ACIDE ACETYLSALICYLIQUE;HEPARINES DE BAS POIDS MOLECULAIRE ET APPARENTES (DOSES PREVENTIVES)"
"ACIDE ACETYLSALICYLIQUE";"HEPARINES NON FRACTIONNEES (DOSES CURATIVES ET/OU SUJET AGE)";3;;"ASDEC - APEC Association deconseillee avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) Utiliser un autre anti-inflammatoire ou un autre antalgique ou antipyretique. A prendre en compte avec : - des doses antiagregantes (de 50 mg a 375 mg par jour). Augmentation du risque hemorragique (inhibition de la fonction plaquettaire et agression de la muqueuse gastroduodenale par l'acide acetylsalicylique).";;"ASDEC - APEC Association deconseillee avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) Utiliser un autre anti-inflammatoire ou un autre antalgique ou antipyretique. A prendre en compte avec : - des doses antiagregantes (de 50 mg a 375 mg par jour). Augmentation du risque hemorragique (inhibition de la fonction plaquettaire et agression de la muqueuse gastroduodenale par l'acide acetylsalicylique).";"ACIDE ACETYLSALICYLIQUE;HEPARINES NON FRACTIONNEES (DOSES CURATIVES ET/OU SUJET AGE)"
"ACIDE ACETYLSALICYLIQUE";"HEPARINES NON FRACTIONNEES (DOSES PREVENTIVES)";3;;;;"A prendre en compte L'utilisation conjointe de medicaments agissant a divers niveaux de l'hemostase majore le risque de saignement. Ainsi, chez le sujet de moins de 65 ans, l'association des heparines a doses preventives a l'acide acetylsalicylique, quelle que soit la dose, doit etre prise en compte en maintenant une surveillance clinique et eventuellement biologique.";"ACIDE ACETYLSALICYLIQUE;HEPARINES NON FRACTIONNEES (DOSES PREVENTIVES)"
"ACIDE ACETYLSALICYLIQUE";"INHIBITEURS DE L'ENZYME DE CONVERSION";3;;;"Precaution d'emploi Hydrater le malade et surveiller la fonction renale en debut de traitement. Pour des doses anti-inflammatoires d'acide acetylsalicylique (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou antipyretiques (>= 500 mg par prise et/ou < 3g par jour) : Insuffisance renale aigue chez le malade deshydrate, par diminution de la filtration glomerulaire secondaire a une diminution de la synthese des prostaglandines renales. Par ailleurs, reduction de l'effet antihypertenseur.";;"ACIDE ACETYLSALICYLIQUE;INHIBITEURS DE L'ENZYME DE CONVERSION"
"ACIDE ACETYLSALICYLIQUE";"INHIBITEURS SELECTIFS DE LA RECAPTURE DE LA SEROTONINE";3;;;;"A prendre en compte Majoration du risque hemorragique.";"ACIDE ACETYLSALICYLIQUE;INHIBITEURS SELECTIFS DE LA RECAPTURE DE LA SEROTONINE"
"ACIDE ACETYLSALICYLIQUE";"METHOTREXATE";4;"CI - PE Avec le methotrexate utilise a des doses > 20 mg/semaine : - contre-indication avec l'acide acetylsalicylique utilise a doses antalgiques, antipyretiques ou anti-inflammatoires - precaution d'emploi avec des doses antiagregantes plaquettaires d'acide acetylsalicylique. Controle hebdomadaire de l'hemogramme durant les premieres semaines de l'association. Surveillance accrue en cas d'alteration (meme legere) de la fonction renale, ainsi que chez le sujet age. Avec le methotrexate utilise a des doses =< 20 mg/semaine : - precaution d'emploi avec l'acide acetylsalicylique utilise a doses antalgiques, antipyretiques ou anti-inflammatoires. Controle hebdomadaire de l'hemogramme durant les premieres semaines de l'association. Surveillance accrue en cas d'alteration (meme legere) de la fonction renale, ainsi que chez le sujet age. Majoration de la toxicite, notamment hematologique, du methotrexate (diminution de sa clairance renale par l'acide acetylsalicylique).  /226";;"CI - PE Avec le methotrexate utilise a des doses > 20 mg/semaine : - contre-indication avec l'acide acetylsalicylique utilise a doses antalgiques, antipyretiques ou anti-inflammatoires - precaution d'emploi avec des doses antiagregantes plaquettaires d'acide acetylsalicylique. Controle hebdomadaire de l'hemogramme durant les premieres semaines de l'association. Surveillance accrue en cas d'alteration (meme legere) de la fonction renale, ainsi que chez le sujet age. Avec le methotrexate utilise a des doses =< 20 mg/semaine : - precaution d'emploi avec l'acide acetylsalicylique utilise a doses antalgiques, antipyretiques ou anti-inflammatoires. Controle hebdomadaire de l'hemogramme durant les premieres semaines de l'association. Surveillance accrue en cas d'alteration (meme legere) de la fonction renale, ainsi que chez le sujet age. Majoration de la toxicite, notamment hematologique, du methotrexate (diminution de sa clairance renale par l'acide acetylsalicylique).  /226";;"ACIDE ACETYLSALICYLIQUE;METHOTREXATE"
"ACIDE ACETYLSALICYLIQUE";"PEMETREXED";4;;"ASDEC - PE Association deconseillee : - en cas de fonction renale faible a moderee . Precaution d'emploi : - en cas de fonction renale normale. Surveillance biologique de la fonction renale. Risque de majoration de la toxicite du pemetrexed (diminution de sa clairance renale par l'acide acetylsalicylique a doses anti- inflammatoires).";"ASDEC - PE Association deconseillee : - en cas de fonction renale faible a moderee . Precaution d'emploi : - en cas de fonction renale normale. Surveillance biologique de la fonction renale. Risque de majoration de la toxicite du pemetrexed (diminution de sa clairance renale par l'acide acetylsalicylique a doses anti- inflammatoires).";;"ACIDE ACETYLSALICYLIQUE;PEMETREXED"
"ACIDE ACETYLSALICYLIQUE";"THROMBOLYTIQUES";4;;;;"A prendre en compte Augmentation du risque hemorragique.";"ACIDE ACETYLSALICYLIQUE;THROMBOLYTIQUES"
"ACIDE ACETYLSALICYLIQUE";"TICAGRELOR";4;;"ASDEC - PE Association deconseillee : - en dehors des indications validees pour cette association dans les syndromes coronariens aigus. Precaution d'emploi : - dans les indications validees pour cette association dans les syndromes coronariens aigus. Surveillance clinique. Majoration du risque hemorragique par addition des activites antiagregantes plaquettaires.";"ASDEC - PE Association deconseillee : - en dehors des indications validees pour cette association dans les syndromes coronariens aigus. Precaution d'emploi : - dans les indications validees pour cette association dans les syndromes coronariens aigus. Surveillance clinique. Majoration du risque hemorragique par addition des activites antiagregantes plaquettaires.";;"ACIDE ACETYLSALICYLIQUE;TICAGRELOR"
"ACIDE ACETYLSALICYLIQUE";"TICLOPIDINE";4;;"Association DECONSEILLEE Si l'association ne peut etre evitee, surveillance clinique etroite. Majoration du risque hemorragique par addition des activites antiagregantes plaquettaires.";;;"ACIDE ACETYLSALICYLIQUE;TICLOPIDINE"
"ACIDE ACETYLSALICYLIQUE";"URICOSURIQUES";4;;"Association DECONSEILLEE Diminution de l'effet uricosurique par competition de l'elimination de l'acide urique au niveau des tubules renaux.";;;"ACIDE ACETYLSALICYLIQUE;URICOSURIQUES"
"ACIDE ASCORBIQUE";"DEFEROXAMINE";4;;;"Precaution d'emploi En cas d'hemochromatose, ne donner de la vitamine C qu'apres avoir commence le traitement par la deferoxamine. Surveiller la fonction cardiaque en cas d'association. Avec l'acide ascorbique a fortes doses et par voie IV : anomalies de la fonction cardiaque, voire insuffisance cardiaque aigue (en general reversible a l'arret de la vitamine C).";;"ACIDE ASCORBIQUE;DEFEROXAMINE"
"ACIDE CHOLIQUE";"PHENOBARBITAL";4;"CONTRE-INDICATION Effet antagoniste du phenobarbital.";;;;"ACIDE CHOLIQUE;PHENOBARBITAL"
"ACIDE CLODRONIQUE";"ESTRAMUSTINE";4;;;"Precaution d'emploi Surveillance clinique au cours de l'association. Risque d'augmentation des concentrations plasmatiques d'estramustine par le clodronate.";;"ACIDE CLODRONIQUE;ESTRAMUSTINE"
"ACIDE FOLINIQUE";"FLUOROURACILE (ET, PAR EXTRAPOLATION, AUTRES FLUOROPYRIMIDINES)";4;;;;"A prendre en compte Potentialisation des effets, a la fois cytostatiques et indesirables, du fluoro-uracile.";"ACIDE FOLINIQUE;FLUOROURACILE (ET, PAR EXTRAPOLATION, AUTRES FLUOROPYRIMIDINES)"
"ACIDE FUSIDIQUE";"CICLOSPORINE";4;;;"Precaution d'emploi Dosage des concentrations sanguines de ciclosporine, controle de la fonction renale et adaptation de la posologie pendant le traitement et apres son arret. Risque d'augmentation des concentrations sanguines de ciclosporine et de la creatininemie.";;"ACIDE FUSIDIQUE;CICLOSPORINE"
"ACIDE FUSIDIQUE";"INHIBITEURS DE L'HMG-COA REDUCTASE (STATINES)";5;;"Association DECONSEILLEE Si possible, arreter le traitement par l'inhibiteur de l'HMG Co-A reductase avant d'initier un traitement par acide fusidique ou utiliser un autre antibiotique. Risque majore d'effets indesirables (concentration-dependants) a type de rhabdomyolyse.  /226";;;"ACIDE FUSIDIQUE;INHIBITEURS DE L'HMG-COA REDUCTASE (STATINES)"
"ACIDE FUSIDIQUE";"OMBITASVIR + PARITAPREVIR";5;"CONTRE-INDICATION Augmentation des concentrations plasmatiques de l'acide fusidique par diminution de son metabolisme hepatique par la bitherapie.";;;;"ACIDE FUSIDIQUE;OMBITASVIR + PARITAPREVIR"
"ACIDE NICOTINIQUE";"ALCOOL (BOISSON OU EXCIPIENT)";5;;;;"A prendre en compte Risque de prurit, de rougeur et de chaleur, lie a une potentialisation de l'effet vasodilatateur.";"ACIDE NICOTINIQUE;ALCOOL (BOISSON OU EXCIPIENT)"
"ACIDES BILIAIRES";"CICLOSPORINE";5;;;;"A prendre en compte Risque de variation des concentrations sanguines de ciclosporine.";"ACIDES BILIAIRES;CICLOSPORINE"
"ACITRETINE";"ALCOOL (BOISSON OU EXCIPIENT)";5;"CONTRE-INDICATION Chez la femme en age de procreer, risque de transformation de l'acitretine en etretinate, puissant teratogene dont la demi-vie tres prolongee (120 jours) expose a un risque teratogene majeur en cas de grossesse, pendant le traitement et les 2 mois suivant son arret.";;;;"ACITRETINE;ALCOOL (BOISSON OU EXCIPIENT)"
"ACITRETINE";"METHOTREXATE";5;;"Association DECONSEILLEE Si l'association est jugee necessaire, renforcer la surveillance du bilan hepatique. Risque de majoration de l'hepatotoxicite du methotrexate.";;;"ACITRETINE;METHOTREXATE"
"ADRENALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANEE)";"ANESTHESIQUES VOLATILS HALOGENES";5;;;"Precaution d'emploi Limiter l'apport, par exemple : moins de 0,1 mg d'adrenaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte. Troubles du rythme ventriculaire graves par augmentation de l'excitabilite cardiaque.";;"ADRENALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANEE);ANESTHESIQUES VOLATILS HALOGENES"
"ADRENALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANEE)";"ANTIDEPRESSEURS IMIPRAMINIQUES";5;;;"Precaution d'emploi Limiter l'apport, par exemple : moins de 0,1 mg d'adrenaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte. Troubles du rythme ventriculaire graves par augmentation de l'excitabilite cardiaque.";;"ADRENALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANEE);ANTIDEPRESSEURS IMIPRAMINIQUES"
"ADRENALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANEE)";"IMAO IRREVERSIBLES";5;;;"Precaution d'emploi Limiter l'apport, par exemple : moins de 0,1 mg d'adrenaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte. Troubles du rythme ventriculaire graves par augmentation de l'excitabilite cardiaque.";;"ADRENALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANEE);IMAO IRREVERSIBLES"
"ADRENALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANEE)";"MEDICAMENTS MIXTES ADRENERGIQUES-SEROTONINERGIQUES";5;;;"Precaution d'emploi Limiter l'apport, par exemple : moins de 0,1 mg d'adrenaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte. Troubles du rythme ventriculaire graves par augmentation de l'excitabilite cardiaque.";;"ADRENALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANEE);MEDICAMENTS MIXTES ADRENERGIQUES-SEROTONINERGIQUES"
"AFATINIB";"AMIODARONE";5;;;"Precaution d'emploi Il est recommande d'administrer l'amiodarone le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. Augmentation des concentrations plasmatiques d'afatinib par augmentation de son absorption par l'amiodarone.";;"AFATINIB;AMIODARONE"
"AFATINIB";"CICLOSPORINE";5;;;"Precaution d'emploi Il est recommande d'administrer la ciclosporine le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. Augmentation des concentrations plasmatique d'afatinib par augmentation de son absorption par la ciclosporine.";;"AFATINIB;CICLOSPORINE"
"AFATINIB";"ERYTHROMYCINE";6;;;"Precaution d'emploi Il est recommande d'administrer l'erythromycine le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. Augmentation des concentrations plasmatique d'afatinib par augmentation de son absorption par l'erythromycine.  /226";;"AFATINIB;ERYTHROMYCINE"
"AFATINIB";"INHIBITEURS DE PROTEASES BOOSTES PAR RITONAVIR";6;;;"Precaution d'emploi Il est recommande d'administrer l'inhibiteur de proteases le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. Augmentation des concentrations plasmatique d'afatinib par augmentation de son absorption par l'inhibiteur de proteases.";;"AFATINIB;INHIBITEURS DE PROTEASES BOOSTES PAR RITONAVIR"
"AFATINIB";"ITRACONAZOLE";6;;;"Precaution d'emploi Il est recommande d'administrer l'itraconazole le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. Augmentation des concentrations plasmatique d'afatinib par augmentation de son absorption par l'itraconazole.";;"AFATINIB;ITRACONAZOLE"
"AFATINIB";"KETOCONAZOLE";6;;;"Precaution d'emploi Il est recommande d'administrer le ketoconazole le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. Augmentation des concentrations plasmatique d'afatinib par augmentation de son absorption par le ketoconazole.";;"AFATINIB;KETOCONAZOLE"
"AFATINIB";"VERAPAMIL";6;;;"Precaution d'emploi Il est recommande d'administrer le verapamil le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. Augmentation des concentrations plasmatique d'afatinib par augmentation de son absorption par le verapamil.";;"AFATINIB;VERAPAMIL"
"AGOMELATINE";"CIPROFLOXACINE";6;"CONTRE-INDICATION Augmentation des concentrations d'agomelatine, avec risque de majoration des effets indesirables.";;;;"AGOMELATINE;CIPROFLOXACINE"
"AGOMELATINE";"FLUVOXAMINE";6;"CONTRE-INDICATION Augmentation des concentrations d'agomelatine, avec risque de majoration des effets indesirables.";;;;"AGOMELATINE;FLUVOXAMINE"
"ALBENDAZOLE";"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";6;;;"Precaution d'emploi Surveillance clinique de la reponse therapeutique et adaptation eventuelle de la posologie de l'albendazole pendant le traitement avec l'inducteur enzymatique et apres son arret. Diminution importante des concentrations plasmatiques de l'albendazole et de son metabolite actif par l'inducteur, avec risque de baisse de son efficacite.";;"ALBENDAZOLE;ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES"
"ALBENDAZOLE";"INHIBITEURS DE PROTEASES BOOSTES PAR RITONAVIR";6;;;"Precaution d'emploi Surveillance clinique de la reponse therapeutique et adaptation eventuelle de la posologie de l'albendazole pendant le traitement avec l'inducteur enzymatique et apres son arret. Diminution importante des concentrations plasmatiques de l'albendazole et de son metabolite actif par le ritonavir, avec risque de baisse de son efficacite.";;"ALBENDAZOLE;INHIBITEURS DE PROTEASES BOOSTES PAR RITONAVIR"
"ALBENDAZOLE";"RIFAMPICINE";6;;;"Precaution d'emploi Surveillance clinique de la reponse therapeutique et adaptation eventuelle de la posologie de l'albendazole pendant le traitement avec l'inducteur enzymatique et apres son arret. Diminution importante des concentrations plasmatiques de l'albendazole et de son metabolite actif par l'inducteur, avec risque de baisse de son efficacite.";;"ALBENDAZOLE;RIFAMPICINE"
"ALCALINISANTS URINAIRES";"HYDROQUINIDINE";6;;;"Precaution d'emploi Surveillance clinique, ECG et eventuellement controle des concentrations de l'hydroquinidine ; si besoin, adaptation de la posologie pendant le traitement alcalinisant et apres son arret. Augmentation des concentrations plasmatiques de l'hydroquinidine et risque de surdosage (diminution de l'excretion renale de l'hydroquinidine par alcalinisation des urines).";;"ALCALINISANTS URINAIRES;HYDROQUINIDINE"
